 Nascidos vivos - Brasil
Nascim p/resid.mãeNascim p/ocorrênc por Município
Período:2000-2022
"Município";"Nascim_p/resid.mãe";"Nascim_p/ocorrênc"
"314650 PAINS";2035;1541
"314655 PAI PEDRO";1569;79
"314660 PAIVA";325;1
"314670 PALMA";1424;586
"314675 PALMOPOLIS";1988;93
"314690 PAPAGAIOS";4711;65
"314700 PARACATU";30826;29738
"314710 PARA DE MINAS";26543;30249
"314720 PARAGUACU";5823;3092
"314730 PARAISOPOLIS";5388;5534
"314740 PARAOPEBA";7172;1993
"314750 PASSABEM";388;184
"314760 PASSA QUATRO";4615;4218
"314770 PASSA TEMPO";1607;505
"314780 PASSA-VINTE";455;6
"314790 PASSOS";33237;48294
"314795 PATIS";1532;14
"314800 PATOS DE MINAS";41436;68290
"314810 PATROCINIO";28263;31843
"314820 PATROCINIO DO MURIAE";1137;179
"314830 PAULA CANDIDO";2469;11
"314840 PAULISTAS";1440;98
"314850 PAVAO";2526;2034
"314860 PECANHA";6022;9740
"314870 PEDRA AZUL";8629;12330
"314875 PEDRA BONITA";2567;16
"314880 PEDRA DO ANTA";881;6
"314890 PEDRA DO INDAIA";830;3
"314900 PEDRA DOURADA";709;-
"314910 PEDRALVA";3238;75
"314915 PEDRAS DE MARIA DA CRUZ";3076;25
"314920 PEDRINOPOLIS";887;431
"314930 PEDRO LEOPOLDO";18214;26749
"314940 PEDRO TEIXEIRA";429;1
"314950 PEQUERI";809;5
"314960 PEQUI";1108;4
"314970 PERDIGAO";2864;20
"314980 PERDIZES";4368;2969
"314990 PERDOES";4689;2720
"314995 PERIQUITO";2517;22
"315000 PESCADOR";1254;34
"315010 PIAU";618;7
"315015 PIEDADE DE CARATINGA";2907;6
"315020 PIEDADE DE PONTE NOVA";1344;7
"315030 PIEDADE DO RIO GRANDE";1130;125
"315040 PIEDADE DOS GERAIS";1076;9
"315050 PIMENTA";1821;857
"315053 PINGO-D'AGUA";1405;10
"315057 PINTOPOLIS";2179;271
"315060 PIRACEMA";1435;6
"315070 PIRAJUBA";1371;12
"315080 PIRANGA";4635;2964
"315090 PIRANGUCU";1397;3
"315100 PIRANGUINHO";2543;7
"315110 PIRAPETINGA";3518;3504
"315120 PIRAPORA";20230;32448
"315130 PIRAUBA";2974;463
"315140 PITANGUI";8335;9565
"315150 PIUMHI";9748;13196
"315160 PLANURA";2867;20
"315170 POCO FUNDO";4054;3203
"315180 POCOS DE CALDAS";44759;49424
"315190 POCRANE";2232;1790
"315200 POMPEU";9956;8368
"315210 PONTE NOVA";17190;39644
"315213 PONTO CHIQUE";1273;102
"315217 PONTO DOS VOLANTES";3697;127
"315220 PORTEIRINHA";11787;15033
"315230 PORTO FIRME";2296;235
"315240 POTE";4643;1256
"315250 POUSO ALEGRE";41430;73629
"315260 POUSO ALTO";1584;1601
"315270 PRADOS";2307;162
"315280 PRATA";8027;6705
"315290 PRATAPOLIS";1969;174
"315300 PRATINHA";781;-
"315310 PRESIDENTE BERNARDES";1219;98
"315320 PRESIDENTE JUSCELINO";995;11
"315330 PRESIDENTE KUBITSCHEK";1095;5
"315340 PRESIDENTE OLEGARIO";4860;2016
"315350 ALTO JEQUITIBA";2611;536
"315360 PRUDENTE DE MORAIS";3221;2
"315370 QUARTEL GERAL";791;2
"315380 QUELUZITO";393;2
"315390 RAPOSOS";4658;6
"315400 RAUL SOARES";6502;7001
"315410 RECREIO";2347;2610
"315415 REDUTO";2467;4
"315420 RESENDE COSTA";3096;3663
"315430 RESPLENDOR";5262;10486
"315440 RESSAQUINHA";1380;5
"315445 RIACHINHO";2000;698
"315450 RIACHO DOS MACHADOS";3184;193
"315460 RIBEIRAO DAS NEVES";106128;25842
"315470 RIBEIRAO VERMELHO";928;-
"315480 RIO ACIMA";2813;5
"315490 RIO CASCA";4519;6448
"315500 RIO DOCE";539;7
"315510 RIO DO PRADO";1430;36
"315520 RIO ESPERA";1233;112
"315530 RIO MANSO";1017;14
"315540 RIO NOVO";2200;820
"315550 RIO PARANAIBA";3252;1295
"315560 RIO PARDO DE MINAS";9890;9241
"315570 RIO PIRACICABA";3823;1576
"315580 RIO POMBA";4477;5125
"315590 RIO PRETO";1165;570
"315600 RIO VERMELHO";4325;3243
"315610 RITAPOLIS";1098;1
"315620 ROCHEDO DE MINAS";614;1
"315630 RODEIRO";2264;3
"315640 ROMARIA";812;5
"315645 ROSARIO DA LIMEIRA";1184;8
"315650 RUBELITA";1958;46
"315660 RUBIM";2837;3212
"315670 SABARA";40986;6194
"315680 SABINOPOLIS";4790;4755
"315690 SACRAMENTO";7212;5894
"315700 SALINAS";12882;21662
"315710 SALTO DA DIVISA";1967;641
"315720 SANTA BARBARA";9522;12180
"315725 SANTA BARBARA DO LESTE";2691;10
"315727 SANTA BARBARA DO MONTE VERDE";703;5
"315730 SANTA BARBARA DO TUGURIO";1062;4
"315733 SANTA CRUZ DE MINAS";2266;1
"315737 SANTA CRUZ DE SALINAS";1296;55
"315740 SANTA CRUZ DO ESCALVADO";1193;4
"315750 SANTA EFIGENIA DE MINAS";1483;19
"315760 SANTA FE DE MINAS";1111;256
"315765 SANTA HELENA DE MINAS";2310;252
"315770 SANTA JULIANA";3751;2437
"315780 SANTA LUZIA";73132;22615
"315790 SANTA MARGARIDA";5522;3348
"315800 SANTA MARIA DE ITABIRA";3345;532
"315810 SANTA MARIA DO SALTO";1279;255
"315820 SANTA MARIA DO SUACUI";4841;10458
"315830 SANTANA DA VARGEM";1925;3
"315840 SANTANA DE CATAGUASES";735;1
"315850 SANTANA DE PIRAPAMA";1625;10
"315860 SANTANA DO DESERTO";848;13
"315870 SANTANA DO GARAMBEU";605;4
"315880 SANTANA DO JACARE";1230;1
"315890 SANTANA DO MANHUACU";2995;17
"315895 SANTANA DO PARAISO";11049;25
"315900 SANTANA DO RIACHO";984;14
"315910 SANTANA DOS MONTES";967;14
"315920 SANTA RITA DE CALDAS";1906;149
"315930 SANTA RITA DE JACUTINGA";1028;184
"315935 SANTA RITA DE MINAS";2253;4
"315940 SANTA RITA DE IBITIPOCA";934;8
"315950 SANTA RITA DO ITUETO";1869;8
"315960 SANTA RITA DO SAPUCAI";11779;11174
"315970 SANTA ROSA DA SERRA";842;3
"315980 SANTA VITORIA";5431;4944
"315990 SANTO ANTONIO DO AMPARO";5342;4988
"316000 SANTO ANTONIO DO AVENTUREIRO";638;2
"316010 SANTO ANTONIO DO GRAMA";1228;10
"316020 SANTO ANTONIO DO ITAMBE";1223;25
"316030 SANTO ANTONIO DO JACINTO";3130;366
"316040 SANTO ANTONIO DO MONTE";8085;7770
"316045 SANTO ANTONIO DO RETIRO";2116;92
"316050 SANTO ANTONIO DO RIO ABAIXO";460;8
"316060 SANTO HIPOLITO";825;6
"316070 SANTOS DUMONT";13085;11588
"316080 SAO BENTO ABADE";1719;2
"316090 SAO BRAS DO SUACUI";821;-
"316095 SAO DOMINGOS DAS DORES";1978;2
"316100 SAO DOMINGOS DO PRATA";4347;2399
"316105 SAO FELIX DE MINAS";936;2
"316110 SAO FRANCISCO";20588;21255
"316120 SAO FRANCISCO DE PAULA";1645;2
"316130 SAO FRANCISCO DE SALES";1344;27
"316140 SAO FRANCISCO DO GLORIA";1289;2
"316150 SAO GERALDO";2154;17
"316160 SAO GERALDO DA PIEDADE";1277;20
"316165 SAO GERALDO DO BAIXIO";901;11
"316170 SAO GONCALO DO ABAETE";1625;32
"316180 SAO GONCALO DO PARA";2987;14
"316190 SAO GONCALO DO RIO ABAIXO";2995;32
"316200 SAO GONCALO DO SAPUCAI";8069;8904
"316210 SAO GOTARDO";13191;14478
"316220 SAO JOAO BATISTA DO GLORIA";1887;467
"316225 SAO JOAO DA LAGOA";1137;9
"316230 SAO JOAO DA MATA";661;-
"316240 SAO JOAO DA PONTE";7160;4557
"316245 SAO JOAO DAS MISSOES";5482;428
"316250 SAO JOAO DEL REI";23265;37186
"316255 SAO JOAO DO MANHUACU";3948;4
"316257 SAO JOAO DO MANTENINHA";1659;425
"316260 SAO JOAO DO ORIENTE";2410;12
"316265 SAO JOAO DO PACUI";1036;9
"316270 SAO JOAO DO PARAISO";6647;7450
"316280 SAO JOAO EVANGELISTA";4824;6509
"316290 SAO JOAO NEPOMUCENO";6968;7329
"316292 SAO JOAQUIM DE BICAS";8295;44
"316294 SAO JOSE DA BARRA";1897;20
"316295 SAO JOSE DA LAPA";6866;18
"316300 SAO JOSE DA SAFIRA";1494;59
"316310 SAO JOSE DA VARGINHA";1035;2
"316320 SAO JOSE DO ALEGRE";1156;3
"316330 SAO JOSE DO DIVINO";1067;62
"316340 SAO JOSE DO GOIABAL";1500;75
"316350 SAO JOSE DO JACURI";1783;59
"316360 SAO JOSE DO MANTIMENTO";921;1
"316370 SAO LOURENCO";12607;23390
"316380 SAO MIGUEL DO ANTA";1662;4
"316390 SAO PEDRO DA UNIAO";1033;224
"316400 SAO PEDRO DOS FERROS";2168;507
"316410 SAO PEDRO DO SUACUI";1489;5
"316420 SAO ROMAO";2957;1911
"316430 SAO ROQUE DE MINAS";1550;97
"316440 SAO SEBASTIAO DA BELA VISTA";1608;8
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";730;1
"316447 SAO SEBASTIAO DO ANTA";2130;6
"316450 SAO SEBASTIAO DO MARANHAO";3094;200
"316460 SAO SEBASTIAO DO OESTE";2073;8
"316470 SAO SEBASTIAO DO PARAISO";21121;29796
"316480 SAO SEBASTIAO DO RIO PRETO";370;6
"316490 SAO SEBASTIAO DO RIO VERDE";492;1
"316500 SAO TIAGO";2870;1934
"316510 SAO TOMAS DE AQUINO";2110;122
"316520 SAO THOME DAS LETRAS";1711;40
"316530 SAO VICENTE DE MINAS";1996;1859
"316540 SAPUCAI-MIRIM";1982;9
"316550 SARDOA";1809;31
"316553 SARZEDO";10041;342
"316555 SETUBINHA";4284;542
"316556 SEM-PEIXE";519;1
"316557 SENADOR AMARAL";2201;6
"316560 SENADOR CORTES";647;1
"316570 SENADOR FIRMINO";1952;377
"316580 SENADOR JOSE BENTO";324;2
"316590 SENADOR MODESTINO GONCALVES";1212;23
"316600 SENHORA DE OLIVEIRA";1466;9
"316610 SENHORA DO PORTO";1080;4
"316620 SENHORA DOS REMEDIOS";2449;25
"316630 SERICITA";2610;14
"316640 SERITINGA";465;1
"316650 SERRA AZUL DE MINAS";1388;72
"316660 SERRA DA SAUDADE";153;-
"316670 SERRA DOS AIMORES";2674;7
"316680 SERRA DO SALITRE";3550;800
"316690 SERRANIA";2475;492
"316695 SERRANOPOLIS DE MINAS";1283;24
"316700 SERRANOS";556;2
"316710 SERRO";7029;9803
"316720 SETE LAGOAS";66249;92402
"316730 SILVEIRANIA";530;4
"316740 SILVIANOPOLIS";1472;1567
"316750 SIMAO PEREIRA";692;2
"316760 SIMONESIA";6696;9
"316770 SOBRALIA";1535;7
"316780 SOLEDADE DE MINAS";1509;23
"316790 TABULEIRO";1013;2
"316800 TAIOBEIRAS";11279;23326
"316805 TAPARUBA";941;-
"316810 TAPIRA";1053;2
"316820 TAPIRAI";345;-
"316830 TAQUARACU DE MINAS";853;2
"316840 TARUMIRIM";3557;2534
"316850 TEIXEIRAS";2950;13
"316860 TEOFILO OTONI";47738;76968
"316870 TIMOTEO";23600;29528
"316880 TIRADENTES";1899;1
"316890 TIROS";1651;247
"316900 TOCANTINS";4304;6
"316905 TOCOS DO MOJI";777;2
"316910 TOLEDO";1485;64
"316920 TOMBOS";2462;1592
"316930 TRES CORACOES";24645;31504
"316935 TRES MARIAS";9028;8495
"316940 TRES PONTAS";17756;21183
"316950 TUMIRITINGA";1892;117
"316960 TUPACIGUARA";5956;3497
"316970 TURMALINA";5614;9737
"316980 TURVOLANDIA";1273;8
"316990 UBA";29770;52954
"317000 UBAI";3678;279
"317005 UBAPORANGA";3649;5
"317010 UBERABA";89705;108586
"317020 UBERLANDIA";200938;211732
"317030 UMBURATIBA";953;17
"317040 UNAI";27859;34101
"317043 UNIAO DE MINAS";1121;1280
"317047 URUANA DE MINAS";836;6
"317050 URUCANIA";3271;15
"317052 URUCUIA";3511;3678
"317057 VARGEM ALEGRE";1812;4
"317060 VARGEM BONITA";504;-
"317065 VARGEM GRANDE DO RIO PARDO";1459;24
"317070 VARGINHA";39830;43431
"317075 VARJAO DE MINAS";2161;35
"317080 VARZEA DA PALMA";11898;10481
"317090 VARZELANDIA";6798;3459
"317100 VAZANTE";6003;4482
"317103 VERDELANDIA";3420;105
"317107 VEREDINHA";1352;10
"317110 VERISSIMO";796;2
"317115 VERMELHO NOVO";1327;-
"317120 VESPASIANO";38940;14781
"317130 VICOSA";21991;38212
"317140 VIEIRAS";888;-
"317150 MATHIAS LOBATO";1138;3
"317160 VIRGEM DA LAPA";3711;2529
"317170 VIRGINIA";2346;1398
"317180 VIRGINOPOLIS";3352;5698
"317190 VIRGOLANDIA";1397;64
"317200 VISCONDE DO RIO BRANCO";11763;15182
"317210 VOLTA GRANDE";1320;100
"317220 WENCESLAU BRAZ";663;1
" MUNICIPIO IGNORADO - ES";68;-
"320010 AFONSO CLAUDIO";10312;11565
"320013 AGUIA BRANCA";2793;4
"320016 AGUA DOCE DO NORTE";3800;151
"320020 ALEGRE";9443;8911
"320030 ALFREDO CHAVES";3216;554
"320035 ALTO RIO NOVO";2449;7
"320040 ANCHIETA";8679;9232
"320050 APIACA";1939;6
"320060 ARACRUZ";31420;30376
"320070 ATILIO VIVACQUA";2970;6
"320080 BAIXO GUANDU";9339;7279
"320090 BARRA DE SAO FRANCISCO";15008;21071
"320100 BOA ESPERANCA";4827;2496
"320110 BOM JESUS DO NORTE";2413;54
"320115 BREJETUBA";4769;13
"320120 CACHOEIRO DE ITAPEMIRIM";64934;96508
"320130 CARIACICA";135988;77013
"320140 CASTELO";10433;10192
"320150 COLATINA";35428;71749
"320160 CONCEICAO DA BARRA";10529;4164
"320170 CONCEICAO DO CASTELO";3955;1649
"320180 DIVINO DE SAO LOURENCO";1485;15
"320190 DOMINGOS MARTINS";10997;10864
"320200 DORES DO RIO PRETO";1830;3
"320210 ECOPORANGA";7753;5858
"320220 FUNDAO";5757;187
"320225 GOVERNADOR LINDENBERG";2619;6
"320230 GUACUI";10221;15252
"320240 GUARAPARI";38484;29651
"320245 IBATIBA";8249;7808
"320250 IBIRACU";3485;2
"320255 IBITIRAMA";3697;38
"320260 ICONHA";3214;1848
"320265 IRUPI";3989;8
"320270 ITAGUACU";3695;1619
"320280 ITAPEMIRIM";12044;22221
"320290 ITARANA";2905;1086
"320300 IUNA";9603;11523
"320305 JAGUARE";10336;6737
"320310 JERONIMO MONTEIRO";3131;138
"320313 JOAO NEIVA";4640;3857
"320316 LARANJA DA TERRA";2385;44
"320320 LINHARES";56247;69865
"320330 MANTENOPOLIS";4271;2566
"320332 MARATAIZES";11939;9
"320334 MARECHAL FLORIANO";4896;26
"320335 MARILANDIA";2971;1
"320340 MIMOSO DO SUL";7238;5942
"320350 MONTANHA";6266;6013
"320360 MUCURICI";1931;2347
"320370 MUNIZ FREIRE";6146;4447
"320380 MUQUI";4302;3019
"320390 NOVA VENECIA";15804;17626
"320400 PANCAS";6077;3474
"320405 PEDRO CANARIO";9594;7164
"320410 PINHEIROS";8816;7154
"320420 PIUMA";6291;1548
"320425 PONTO BELO";2102;1
"320430 PRESIDENTE KENNEDY";3463;12
"320435 RIO BANANAL";5645;1640
"320440 RIO NOVO DO SUL";3080;462
"320450 SANTA LEOPOLDINA";2937;1663
"320455 SANTA MARIA DE JETIBA";13171;10717
"320460 SANTA TERESA";6939;13683
"320465 SAO DOMINGOS DO NORTE";2590;5
"320470 SAO GABRIEL DA PALHA";10271;10662
"320480 SAO JOSE DO CALCADO";3364;3705
"320490 SAO MATEUS";41671;50139
"320495 SAO ROQUE DO CANAA";2638;3
"320500 SERRA";166818;115687
"320501 SOORETAMA";10355;38
"320503 VARGEM ALTA";6422;2077
"320506 VENDA NOVA DO IMIGRANTE";6881;13738
"320510 VIANA";23633;30
"320515 VILA PAVAO";2510;11
"320517 VILA VALERIO";4442;35
"320520 VILA VELHA";140153;142894
"320530 VITORIA";102469;262614
" MUNICIPIO IGNORADO - RJ";513;27
"330010 ANGRA DOS REIS";58082;58120
"330015 APERIBE";2780;2093
"330020 ARARUAMA";36612;30165
"330022 AREAL";3547;153
"330023 ARMACAO DOS BUZIOS";12720;9371
"330025 ARRAIAL DO CABO";8224;4691
"330030 BARRA DO PIRAI";26367;19174
"330040 BARRA MANSA";52514;48448
"330045 BELFORD ROXO";170136;138681
"330050 BOM JARDIM";7866;8439
"330060 BOM JESUS DO ITABAPOANA";11568;15342
"330070 CABO FRIO";65590;69760
"330080 CACHOEIRAS DE MACACU";17201;13228
"330090 CAMBUCI";3608;2972
"330093 CARAPEBUS";3272;35
"330095 COMENDADOR LEVY GASPARIAN";2638;10
"330100 CAMPOS DOS GOYTACAZES";167475;188751
"330110 CANTAGALO";5761;9078
"330115 CARDOSO MOREIRA";3355;3
"330120 CARMO";5243;6402
"330130 CASIMIRO DE ABREU";11348;12045
"330140 CONCEICAO DE MACABU";6156;2268
"330150 CORDEIRO";6034;4836
"330160 DUAS BARRAS";3290;2142
"330170 DUQUE DE CAXIAS";307590;265904
"330180 ENGENHEIRO PAULO DE FRONTIN";3248;1585
"330185 GUAPIMIRIM";16146;9047
"330187 IGUABA GRANDE";6488;16
"330190 ITABORAI";75525;52015
"330200 ITAGUAI";40773;27536
"330205 ITALVA";3884;4411
"330210 ITAOCARA";6475;6147
"330220 ITAPERUNA";27884;36861
"330225 ITATIAIA";9069;3681
"330227 JAPERI";34532;16593
"330230 LAJE DO MURIAE";2261;1810
"330240 MACAE";78165;93898
"330245 MACUCO";2552;6
"330250 MAGE";80152;51756
"330260 MANGARATIBA";11570;7747
"330270 MARICA";36640;18406
"330280 MENDES";4667;1116
"330285 MESQUITA";51888;82210
"330290 MIGUEL PEREIRA";7146;13134
"330300 MIRACEMA";8970;8869
"330310 NATIVIDADE";4468;4631
"330320 NILOPOLIS";47826;85769
"330330 NITEROI";140227;248299
"330340 NOVA FRIBURGO";52967;56393
"330350 NOVA IGUACU";280449;173473
"330360 PARACAMBI";12613;51120
"330370 PARAIBA DO SUL";12196;6965
"330380 PARATY";13692;11637
"330385 PATY DO ALFERES";8712;33
"330390 PETROPOLIS";92126;103929
"330395 PINHEIRAL";6987;3641
"330400 PIRAI";8121;8556
"330410 PORCIUNCULA";5222;2960
"330411 PORTO REAL";6094;3385
"330412 QUATIS";3921;74
"330414 QUEIMADOS";54109;40967
"330415 QUISSAMA";7066;8832
"330420 RESENDE";39437;52127
"330430 RIO BONITO";18045;28770
"330440 RIO CLARO";5010;3641
"330450 RIO DAS FLORES";2539;835
"330452 RIO DAS OSTRAS";37831;28127
"330455 RIO DE JANEIRO";1926042;2057191
"330460 SANTA MARIA MADALENA";2609;1943
"330470 SANTO ANTONIO DE PADUA";11524;14348
"330475 SAO FRANCISCO DE ITABAPOANA";13397;3557
"330480 SAO FIDELIS";10107;7137
"330490 SAO GONCALO";269862;217313
"330500 SAO JOAO DA BARRA";11091;4689
"330510 SAO JOAO DE MERITI";155703;175215
"330513 SAO JOSE DE UBA";2303;2
"330515 SAO JOSE DO VALE DO RIO PRETO";6476;4879
"330520 SAO PEDRO DA ALDEIA";30350;29837
"330530 SAO SEBASTIAO DO ALTO";2452;2524
"330540 SAPUCAIA";4372;26
"330550 SAQUAREMA";23756;29243
"330555 SEROPEDICA";24474;17672
"330560 SILVA JARDIM";7006;289
"330570 SUMIDOURO";4802;3258
"330575 TANGUA";9860;25
"330580 TERESOPOLIS";54154;61657
"330590 TRAJANO DE MORAES";2383;1431
"330600 TRES RIOS";26530;38573
"330610 VALENCA";21140;22476
"330615 VARRE-SAI";4028;2983
"330620 VASSOURAS";12152;21931
"330630 VOLTA REDONDA";76483;92390
" MUNICIPIO IGNORADO - SP";3708;58
"350010 ADAMANTINA";8618;11820
"350020 ADOLFO";950;4
"350030 AGUAI";10312;5887
"350040 AGUAS DA PRATA";1726;9
"350050 AGUAS DE LINDOIA";5585;8010
"350055 AGUAS DE SANTA BARBARA";1719;4
"350060 AGUAS DE SAO PEDRO";606;13
"350070 AGUDOS";11883;9434
"350075 ALAMBARI";1455;2
"350080 ALFREDO MARCONDES";950;4
"350090 ALTAIR";1067;6
"350100 ALTINOPOLIS";4580;2892
"350110 ALTO ALEGRE";958;511
"350115 ALUMINIO";5937;26
"350120 ALVARES FLORENCE";747;18
"350130 ALVARES MACHADO";8047;3871
"350140 ALVARO DE CARVALHO";1117;5
"350150 ALVINLANDIA";1003;5
"350160 AMERICANA";59934;86164
"350170 AMERICO BRASILIENSE";11437;4233
"350180 AMERICO DE CAMPOS";1299;3
"350190 AMPARO";18748;22580
"350200 ANALANDIA";1119;8
"350210 ANDRADINA";15942;19646
"350220 ANGATUBA";7628;8256
"350230 ANHEMBI";1784;41
"350240 ANHUMAS";1116;7
"350250 APARECIDA";10806;11496
"350260 APARECIDA D'OESTE";1099;280
"350270 APIAI";9254;13709
"350275 ARACARIGUAMA";7039;851
"350280 ARACATUBA";51709;60984
"350290 ARACOIABA DA SERRA";8617;86
"350300 ARAMINA";1371;7
"350310 ARANDU";1959;566
"350315 ARAPEI";603;87
"350320 ARARAQUARA";58896;78510
"350330 ARARAS";34710;40147
"350335 ARCO-IRIS";498;1
"350340 AREALVA";1916;965
"350350 AREIAS";1156;36
"350360 AREIOPOLIS";3576;15
"350370 ARIRANHA";2340;1067
"350380 ARTUR NOGUEIRA";13932;5375
"350390 ARUJA";30335;37256
"350395 ASPASIA";458;1
"350400 ASSIS";27742;44188
"350410 ATIBAIA";45085;50326
"350420 AURIFLAMA";3802;5962
"350430 AVAI";1517;8
"350440 AVANHANDAVA";3271;153
"350450 AVARE";28301;35367
"350460 BADY BASSITT";4968;30
"350470 BALBINOS";331;1
"350480 BALSAMO";1965;99
"350490 BANANAL";2848;1528
"350500 BARAO DE ANTONINA";971;3
"350510 BARBOSA";2035;69
"350520 BARIRI";9113;9445
"350530 BARRA BONITA";8695;12829
"350535 BARRA DO CHAPEU";1912;195
"350540 BARRA DO TURVO";2442;177
"350550 BARRETOS";33586;40026
"350560 BARRINHA";10778;192
"350570 BARUERI";123930;129665
"350580 BASTOS";6932;4877
"350590 BATATAIS";16507;16114
"350600 BAURU";106844;126868
"350610 BEBEDOURO";21445;26389
"350620 BENTO DE ABREU";751;-
"350630 BERNARDINO DE CAMPOS";3135;2180
"350635 BERTIOGA";20852;17422
"350640 BILAC";1720;4367
"350650 BIRIGUI";31321;35892
"350660 BIRITIBA-MIRIM";9125;170
"350670 BOA ESPERANCA DO SUL";4551;2812
"350680 BOCAINA";3246;1676
"350690 BOFETE";2857;68
"350700 BOITUVA";16816;16080
"350710 BOM JESUS DOS PERDOES";6635;154
"350715 BOM SUCESSO DE ITARARE";1582;23
"350720 BORA";225;1
"350730 BORACEIA";1377;21
"350740 BORBOREMA";3632;2693
"350745 BOREBI";765;5
"350750 BOTUCATU";39340;68083
"350760 BRAGANCA PAULISTA";49323;73038
"350770 BRAUNA";1455;6
"350775 BREJO ALEGRE";691;1
"350780 BRODOWSKI";6558;120
"350790 BROTAS";6919;5989
"350800 BURI";7758;2993
"350810 BURITAMA";4389;4480
"350820 BURITIZAL";1109;3
"350830 CABRALIA PAULISTA";1387;8
"350840 CABREUVA";16483;8438
"350850 CACAPAVA";28695;26217
"350860 CACHOEIRA PAULISTA";9516;4790
"350870 CACONDE";5336;2813
"350880 CAFELANDIA";5283;4742
"350890 CAIABU";1061;5
"350900 CAIEIRAS";30873;50248
"350910 CAIUA";1083;3
"350920 CAJAMAR";27407;17891
"350925 CAJATI";11861;368
"350930 CAJOBI";2544;2599
"350940 CAJURU";8242;8855
"350945 CAMPINA DO MONTE ALEGRE";1830;5
"350950 CAMPINAS";334231;465614
"350960 CAMPO LIMPO PAULISTA";25473;15837
"350970 CAMPOS DO JORDAO";18534;19326
"350980 CAMPOS NOVOS PAULISTA";1398;9
"350990 CANANEIA";4450;127
"350995 CANAS";1622;1
"351000 CANDIDO MOTA";8302;6825
"351010 CANDIDO RODRIGUES";574;-
"351015 CANITAR";1795;140
"351020 CAPAO BONITO";17019;19675
"351030 CAPELA DO ALTO";6144;64
"351040 CAPIVARI";16318;21190
"351050 CARAGUATATUBA";36392;38971
"351060 CARAPICUIBA";153135;101038
"351070 CARDOSO";3007;1652
"351080 CASA BRANCA";7611;4935
"351090 CASSIA DOS COQUEIROS";576;76
"351100 CASTILHO";5574;2141
"351110 CATANDUVA";31045;61568
"351120 CATIGUA";1981;13
"351130 CEDRAL";2116;14
"351140 CERQUEIRA CESAR";5632;5683
"351150 CERQUILHO";11201;4975
"351160 CESARIO LANGE";5121;1359
"351170 CHARQUEADA";4645;3002
"351190 CLEMENTINA";2229;186
"351200 COLINA";5397;4513
"351210 COLOMBIA";2184;1192
"351220 CONCHAL";9514;6781
"351230 CONCHAS";5317;5068
"351240 CORDEIROPOLIS";6463;40
"351250 COROADOS";1336;2
"351260 CORONEL MACEDO";1330;4
"351270 CORUMBATAI";1096;10
"351280 COSMOPOLIS";17885;12029
"351290 COSMORAMA";1706;5
"351300 COTIA";86059;70315
"351310 CRAVINHOS";9609;2068
"351320 CRISTAIS PAULISTA";2440;11
"351330 CRUZALIA";548;13
"351340 CRUZEIRO";24144;30655
"351350 CUBATAO";43062;29287
"351360 CUNHA";6358;5629
"351370 DESCALVADO";8465;6751
"351380 DIADEMA";146033;115689
"351385 DIRCE REIS";393;5
"351390 DIVINOLANDIA";3176;3383
"351400 DOBRADA";2639;3
"351410 DOIS CORREGOS";8061;6301
"351420 DOLCINOPOLIS";518;2
"351430 DOURADO";2176;1509
"351440 DRACENA";11285;13765
"351450 DUARTINA";3459;4417
"351460 DUMONT";2277;15
"351470 ECHAPORA";1939;448
"351480 ELDORADO";5456;465
"351490 ELIAS FAUSTO";4819;16
"351492 ELISIARIO";769;3
"351495 EMBAUBA";578;-
"351500 EMBU DAS ARTES";99587;24653
"351510 EMBU-GUACU";21825;1018
"351512 EMILIANOPOLIS";729;4
"351515 ENGENHEIRO COELHO";5409;36
"351518 ESPIRITO SANTO DO PINHAL";11332;11900
"351519 ESPIRITO SANTO DO TURVO";1494;134
"351520 ESTRELA D'OESTE";2192;1711
"351530 ESTRELA DO NORTE";830;78
"351535 EUCLIDES DA CUNHA PAULISTA";2966;13
"351540 FARTURA";4665;4606
"351550 FERNANDOPOLIS";17201;20069
"351560 FERNANDO PRESTES";1261;11
"351565 FERNAO";423;12
"351570 FERRAZ DE VASCONCELOS";65337;62300
"351580 FLORA RICA";433;1
"351590 FLOREAL";555;2
"351600 FLORIDA PAULISTA";2969;2311
"351610 FLORINIA";823;7
"351620 FRANCA";109255;123748
"351630 FRANCISCO MORATO";65091;53894
"351640 FRANCO DA ROCHA";48759;24756
"351650 GABRIEL MONTEIRO";668;1
"351660 GALIA";1778;882
"351670 GARCA";12873;13575
"351680 GASTAO VIDIGAL";1153;3
"351685 GAVIAO PEIXOTO";1440;5
"351690 GENERAL SALGADO";2581;780
"351700 GETULINA";2685;94
"351710 GLICERIO";1309;-
"351720 GUAICARA";3384;10
"351730 GUAIMBE";1843;13
"351740 GUAIRA";11182;10648
"351750 GUAPIACU";4947;31
"351760 GUAPIARA";6699;5427
"351770 GUARA";6203;4158
"351780 GUARACAI";2008;420
"351790 GUARACI";2944;16
"351800 GUARANI D'OESTE";465;2
"351810 GUARANTA";1999;28
"351820 GUARARAPES";8640;7858
"351830 GUARAREMA";9599;8744
"351840 GUARATINGUETA";34952;39753
"351850 GUAREI";3517;339
"351860 GUARIBA";12291;11439
"351870 GUARUJA";107229;81341
"351880 GUARULHOS";479258;422363
"351885 GUATAPARA";2272;44
