 Nascidos vivos - Brasil
Nascim p/resid.mãeNascim p/ocorrênc por Município
Período:2000-2022
"Município";"Nascim_p/resid.mãe";"Nascim_p/ocorrênc"
"210005 ACAILANDIA";47406;45137
"210010 AFONSO CUNHA";2790;992
"210015 AGUA DOCE DO MARANHAO";3587;330
"210020 ALCANTARA";6165;4414
"210030 ALDEIAS ALTAS";10441;3179
"210040 ALTAMIRA DO MARANHAO";2540;1240
"210043 ALTO ALEGRE DO MARANHAO";9464;25055
"210047 ALTO ALEGRE DO PINDARE";12381;12026
"210050 ALTO PARNAIBA";4593;4202
"210055 AMAPA DO MARANHAO";2616;444
"210060 AMARANTE DO MARANHAO";17354;15766
"210070 ANAJATUBA";7723;5363
"210080 ANAPURUS";6927;5971
"210083 APICUM-ACU";5646;3756
"210087 ARAGUANA";3376;1396
"210090 ARAIOSES";14364;7039
"210095 ARAME";14418;13068
"210100 ARARI";11566;10873
"210110 AXIXA";4103;2499
"210120 BACABAL";42462;60271
"210125 BACABEIRA";5860;700
"210130 BACURI";6333;4613
"210135 BACURITUBA";1469;233
"210140 BALSAS";46321;55610
"210150 BARAO DE GRAJAU";6306;1734
"210160 BARRA DO CORDA";37695;46450
"210170 BARREIRINHAS";27511;29314
"210173 BELAGUA";4177;1369
"210177 BELA VISTA DO MARANHAO";4247;221
"210180 BENEDITO LEITE";1719;442
"210190 BEQUIMAO";6060;4673
"210193 BERNARDO DO MEARIM";1735;243
"210197 BOA VISTA DO GURUPI";3184;899
"210200 BOM JARDIM";14188;10477
"210203 BOM JESUS DAS SELVAS";10119;5391
"210207 BOM LUGAR";3766;108
"210210 BREJO";13771;12733
"210215 BREJO DE AREIA";3384;775
"210220 BURITI";14621;8755
"210230 BURITI BRAVO";9673;8092
"210232 BURITICUPU";30546;30757
"210235 BURITIRANA";4747;732
"210237 CACHOEIRA GRANDE";3184;743
"210240 CAJAPIO";4076;3039
"210250 CAJARI";5941;2678
"210255 CAMPESTRE DO MARANHAO";5184;54
"210260 CANDIDO MENDES";6386;4502
"210270 CANTANHEDE";7417;6339
"210275 CAPINZAL DO NORTE";3653;1822
"210280 CAROLINA";8866;7328
"210290 CARUTAPERA";9346;15152
"210300 CAXIAS";63857;82114
"210310 CEDRAL";2816;2156
"210312 CENTRAL DO MARANHAO";2977;1438
"210315 CENTRO DO GUILHERME";4204;1358
"210317 CENTRO NOVO DO MARANHAO";6348;1279
"210320 CHAPADINHA";38229;49339
"210325 CIDELANDIA";4404;1521
"210330 CODO";52620;49249
"210340 COELHO NETO";22191;27727
"210350 COLINAS";16253;29708
"210355 CONCEICAO DO LAGO-ACU";5606;1333
"210360 COROATA";29027;37056
"210370 CURURUPU";11959;21092
"210375 DAVINOPOLIS";5205;105
"210380 DOM PEDRO";8334;7147
"210390 DUQUE BACELAR";4904;2153
"210400 ESPERANTINOPOLIS";7953;9188
"210405 ESTREITO";14416;12776
"210407 FEIRA NOVA DO MARANHAO";2706;1799
"210408 FERNANDO FALCAO";4712;1810
"210409 FORMOSA DA SERRA NEGRA";6464;5001
"210410 FORTALEZA DOS NOGUEIRAS";5318;4453
"210420 FORTUNA";7529;5652
"210430 GODOFREDO VIANA";3244;1730
"210440 GONCALVES DIAS";6130;4987
"210450 GOVERNADOR ARCHER";3802;3365
"210455 GOVERNADOR EDISON LOBAO";5966;90
"210460 GOVERNADOR EUGENIO BARROS";6176;5469
"210462 GOVERNADOR LUIZ ROCHA";3375;2733
"210465 GOVERNADOR NEWTON BELLO";3829;1066
"210467 GOVERNADOR NUNES FREIRE";13002;36571
"210470 GRACA ARANHA";1893;914
"210480 GRAJAU";35326;37792
"210490 GUIMARAES";4042;3608
"210500 HUMBERTO DE CAMPOS";10987;9782
"210510 ICATU";9901;8104
"210515 IGARAPE DO MEIO";5826;3480
"210520 IGARAPE GRANDE";4161;2767
"210530 IMPERATRIZ";114857;186219
"210535 ITAIPAVA DO GRAJAU";5562;4664
"210540 ITAPECURU MIRIM";28661;35713
"210542 ITINGA DO MARANHAO";8708;5923
"210545 JATOBA";3218;76
"210547 JENIPAPO DOS VIEIRAS";7035;1488
"210550 JOAO LISBOA";10285;2969
"210560 JOSELANDIA";6040;4077
"210565 JUNCO DO MARANHAO";2570;298
"210570 LAGO DA PEDRA";21206;26137
"210580 LAGO DO JUNCO";3791;2659
"210590 LAGO VERDE";7174;2997
"210592 LAGOA DO MATO";2998;383
"210594 LAGO DOS RODRIGUES";3270;1116
"210596 LAGOA GRANDE DO MARANHAO";5301;3329
"210598 LAJEADO NOVO";2325;69
"210600 LIMA CAMPOS";4888;4414
"210610 LORETO";3861;2899
"210620 LUIS DOMINGUES";2481;1119
"210630 MAGALHAES DE ALMEIDA";5674;4280
"210632 MARACACUME";8218;1628
"210635 MARAJA DO SENA";2800;424
"210637 MARANHAOZINHO";4104;1040
"210640 MATA ROMA";7566;5210
"210650 MATINHA";9070;7855
"210660 MATOES";11635;5074
"210663 MATOES DO NORTE";2717;226
"210667 MILAGRES DO MARANHAO";2033;931
"210670 MIRADOR";7947;5653
"210675 MIRANDA DO NORTE";7894;7837
"210680 MIRINZAL";5480;4796
"210690 MONCAO";12097;10585
"210700 MONTES ALTOS";3561;989
"210710 MORROS";7681;11121
"210720 NINA RODRIGUES";5259;3465
"210725 NOVA COLINAS";1984;1627
"210730 NOVA IORQUE";1263;126
"210735 NOVA OLINDA DO MARANHAO";6428;6262
"210740 OLHO D'AGUA DAS CUNHAS";6557;5490
"210745 OLINDA NOVA DO MARANHAO";4647;3275
"210750 PACO DO LUMIAR";35674;5224
"210760 PALMEIRANDIA";6007;4171
"210770 PARAIBANO";7972;5895
"210780 PARNARAMA";13299;6678
"210790 PASSAGEM FRANCA";7840;8734
"210800 PASTOS BONS";7297;6660
"210805 PAULINO NEVES";6694;7659
"210810 PAULO RAMOS";9274;7619
"210820 PEDREIRAS";16060;23675
"210825 PEDRO DO ROSARIO";7901;5109
"210830 PENALVA";15486;15782
"210840 PERI MIRIM";3399;1628
"210845 PERITORO";9274;1461
"210850 PINDARE-MIRIM";13685;9808
"210860 PINHEIRO";34775;49432
"210870 PIO XII";10889;10308
"210880 PIRAPEMAS";7164;6322
"210890 POCAO DE PEDRAS";7238;8011
"210900 PORTO FRANCO";9995;20777
"210905 PORTO RICO DO MARANHAO";2074;1340
"210910 PRESIDENTE DUTRA";18619;19766
"210920 PRESIDENTE JUSCELINO";4902;3256
"210923 PRESIDENTE MEDICI";2282;139
"210927 PRESIDENTE SARNEY";7265;2921
"210930 PRESIDENTE VARGAS";4674;2408
"210940 PRIMEIRA CRUZ";4465;3343
"210945 RAPOSA";11509;1440
"210950 RIACHAO";8642;7220
"210955 RIBAMAR FIQUENE";2682;48
"210960 ROSARIO";15446;12195
"210970 SAMBAIBA";1466;800
"210975 SANTA FILOMENA DO MARANHAO";2006;498
"210980 SANTA HELENA";12167;12111
"210990 SANTA INES";39320;55209
"211000 SANTA LUZIA";30222;27764
"211003 SANTA LUZIA DO PARUA";9183;9300
"211010 SANTA QUITERIA DO MARANHAO";11827;11291
"211020 SANTA RITA";13200;13970
"211023 SANTANA DO MARANHAO";3097;1322
"211027 SANTO AMARO DO MARANHAO";4439;3040
"211030 SANTO ANTONIO DOS LOPES";5690;5441
"211040 SAO BENEDITO DO RIO PRETO";9114;7795
"211050 SAO BENTO";12976;13727
"211060 SAO BERNARDO";11856;11379
"211065 SAO DOMINGOS DO AZEITAO";2652;1912
"211070 SAO DOMINGOS DO MARANHAO";15665;13852
"211080 SAO FELIX DE BALSAS";1305;807
"211085 SAO FRANCISCO DO BREJAO";2964;766
"211090 SAO FRANCISCO DO MARANHAO";3653;1028
"211100 SAO JOAO BATISTA";6908;5829
"211102 SAO JOAO DO CARU";4862;4148
"211105 SAO JOAO DO PARAISO";3796;119
"211107 SAO JOAO DO SOTER";6544;835
"211110 SAO JOAO DOS PATOS";9675;10016
"211120 SAO JOSE DE RIBAMAR";61210;29056
"211125 SAO JOSE DOS BASILIOS";2479;1374
"211130 SAO LUIS";396566;508616
"211140 SAO LUIS GONZAGA DO MARANHAO";7988;4860
"211150 SAO MATEUS DO MARANHAO";16628;12179
"211153 SAO PEDRO DA AGUA BRANCA";3990;2298
"211157 SAO PEDRO DOS CRENTES";1766;1720
"211160 SAO RAIMUNDO DAS MANGABEIRAS";7370;5077
"211163 SAO RAIMUNDO DO DOCA BEZERRA";2146;278
"211167 SAO ROBERTO";2003;152
"211170 SAO VICENTE FERRER";7403;9678
"211172 SATUBINHA";2598;1703
"211174 SENADOR ALEXANDRE COSTA";4282;3054
"211176 SENADOR LA ROCQUE";7794;1669
"211178 SERRANO DO MARANHAO";3702;1246
"211180 SITIO NOVO";6515;4290
"211190 SUCUPIRA DO NORTE";3949;2267
"211195 SUCUPIRA DO RIACHAO";1780;241
"211200 TASSO FRAGOSO";2992;1719
"211210 TIMBIRAS";12541;12755
"211220 TIMON";66051;52498
"211223 TRIZIDELA DO VALE";8091;5071
"211227 TUFILANDIA";2433;610
"211230 TUNTUM";14173;16704
