 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Peso ao nascer;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 500g;500 a 999g;1000 a 1499 g;1500 a 2499 g;2500 a 2999 g;3000 a 3999 g;4000g e mais;Ignorado;Total
313950 MANHUMIRIM;5;33;38;559;1945;4601;262;13;7456
313960 MANTENA;5;14;58;490;1819;5514;493;4;8397
313970 MARAVILHAS;2;11;15;152;475;1246;72;1;1974
313980 MAR DE ESPANHA;4;34;26;253;868;2022;130;1;3338
313990 MARIA DA FE;6;21;33;401;1197;2585;133;4;4380
314000 MARIANA;20;105;141;1694;5225;11862;665;33;19745
314010 MARILAC;3;4;11;85;348;830;48;29;1358
314015 MARIO CAMPOS;7;33;50;392;1172;2734;167;3;4558
314020 MARIPA DE MINAS;1;1;7;43;181;426;34;-;693
314030 MARLIERIA;-;4;12;86;271;684;48;-;1105
314040 MARMELOPOLIS;-;4;11;77;224;511;26;-;853
314050 MARTINHO CAMPOS;1;15;17;244;902;2050;119;4;3352
314053 MARTINS SOARES;2;11;30;203;738;1698;111;-;2793
314055 MATA VERDE;3;9;18;155;641;1540;126;8;2500
314060 MATERLANDIA;1;-;3;151;424;669;31;3;1282
