 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Peso ao nascer;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 500g;500 a 999g;1000 a 1499 g;1500 a 2499 g;2500 a 2999 g;3000 a 3999 g;4000g e mais;Ignorado;Total
291470 ITABERABA;23;108;169;1564;5353;14880;1209;628;23934
291480 ITABUNA;88;414;603;5751;17331;46386;3772;102;74447
291490 ITACARE;16;26;42;467;1489;4942;638;78;7698
291500 ITAETE;6;17;32;298;991;3612;404;393;5753
291510 ITAGI;6;13;32;310;1118;3402;291;201;5373
291520 ITAGIBA;4;20;27;292;1092;3333;359;19;5146
291530 ITAGIMIRIM;2;5;17;141;458;1616;153;36;2428
291535 ITAGUACU DA BAHIA;11;17;16;215;688;3031;434;98;4510
291540 ITAJU DO COLONIA;3;7;12;155;501;1596;170;9;2453
291550 ITAJUIPE;4;34;61;564;1767;4387;385;188;7390
291560 ITAMARAJU;47;92;121;1823;5890;16872;1509;90;26444
291570 ITAMARI;2;9;11;182;566;2122;246;7;3145
291580 ITAMBE;20;26;64;605;1867;4804;390;44;7820
291590 ITANAGRA;1;5;5;140;469;1379;137;93;2229
291600 ITANHEM;5;13;29;367;1212;3661;290;20;5597
291610 ITAPARICA;3;32;59;471;1440;3906;393;18;6322
291620 ITAPE;6;11;27;259;810;2022;148;18;3301
291630 ITAPEBI;3;8;18;236;830;2398;218;198;3909
291640 ITAPETINGA;44;160;208;1892;6309;15796;1209;127;25745
291650 ITAPICURU;11;29;48;532;1877;5980;732;78;9287
291660 ITAPITANGA;4;11;20;167;566;1631;158;8;2565
291670 ITAQUARA;1;5;13;190;543;1636;167;105;2660
291680 ITARANTIM;8;18;46;351;1182;3643;324;12;5584
291685 ITATIM;2;14;24;244;874;3195;378;23;4754
291690 ITIRUCU;3;15;25;321;938;2430;193;41;3966
291700 ITIUBA;8;42;77;731;2576;9313;1093;294;14134
291710 ITORORO;11;27;48;476;1666;4083;309;46;6666
291720 ITUACU;15;16;28;427;1567;3825;279;22;6179
291730 ITUBERA;10;37;59;513;1702;6883;931;241;10376
291733 IUIU;5;14;19;270;802;1910;167;383;3570
291735 JABORANDI;5;8;8;173;595;2009;175;30;3003
291740 JACARACI;1;16;13;195;678;2232;187;31;3353
291750 JACOBINA;38;106;187;2139;7368;19239;1189;289;30555
291760 JAGUAQUARA;6;53;115;1362;4703;12562;1007;73;19881
291770 JAGUARARI;13;42;73;727;2320;6722;646;54;10597
291780 JAGUARIPE;2;15;24;271;994;2897;309;88;4600
291790 JANDAIRA;-;12;11;170;650;2038;253;185;3319
291800 JEQUIE;43;223;392;4310;13647;36180;2766;369;57930
291810 JEREMOABO;13;45;60;699;2594;8593;849;21;12874
291820 JIQUIRICA;8;9;19;199;743;2778;301;27;4084
291830 JITAUNA;4;22;26;359;1113;2839;207;229;4799
291835 JOAO DOURADO;3;26;57;613;1878;6811;753;8;10149
291840 JUAZEIRO;108;448;703;6972;21692;60773;5157;126;95979
291845 JUCURUCU;3;7;10;123;444;1469;117;89;2262
291850 JUSSARA;8;19;25;377;1177;4184;379;67;6236
291855 JUSSARI;2;8;13;184;455;1420;142;9;2233
291860 JUSSIAPE;1;5;10;110;312;1056;114;23;1631
291870 LAFAIETE COUTINHO;2;4;7;96;241;590;30;7;977
291875 LAGOA REAL;3;9;19;163;601;1926;155;103;2979
291880 LAJE;5;30;37;495;1590;5052;500;43;7752
291890 LAJEDAO;2;4;8;49;193;655;40;7;958
291900 LAJEDINHO;-;2;4;81;275;790;74;46;1272
291905 LAJEDO DO TABOCAL;2;6;15;156;503;1416;120;29;2247
291910 LAMARAO;1;6;12;152;448;1231;101;212;2163
291915 LAPAO;6;38;65;640;2503;6760;533;52;10597
291920 LAURO DE FREITAS;104;390;532;4975;14564;41370;3807;48;65790
291930 LENCOIS;1;11;23;221;731;2180;200;51;3418
291940 LICINIO DE ALMEIDA;6;16;13;197;580;2339;267;19;3437
291950 LIVRAMENTO DE NOSSA SENHORA;34;36;77;708;2639;9147;810;39;13490
291955 LUIS EDUARDO MAGALHAES;40;133;207;1954;6595;19994;1591;8;30522
291960 MACAJUBA;4;14;19;288;819;2634;253;120;4151
291970 MACARANI;11;12;30;346;1110;3400;335;276;5520
291980 MACAUBAS;39;55;57;805;2888;8808;736;282;13670
291990 MACURURE;4;5;4;128;381;1746;254;89;2611
291992 MADRE DE DEUS;6;51;54;420;1364;4021;384;9;6309
291995 MAETINGA;3;11;14;153;467;1206;73;118;2045
292000 MAIQUINIQUE;8;2;15;157;546;1894;198;12;2832
292010 MAIRI;5;20;35;401;1191;3634;331;65;5682
292020 MALHADA;5;25;44;364;1252;3916;388;1;5995
292030 MALHADA DE PEDRAS;2;8;13;159;662;1703;101;8;2656
292040 MANOEL VITORINO;2;16;22;302;1062;2989;218;161;4772
292045 MANSIDAO;4;2;15;121;429;1473;129;40;2213
292050 MARACAS;8;29;50;540;1735;6086;552;94;9094
292060 MARAGOGIPE;10;30;40;611;2402;7523;816;403;11835
292070 MARAU;7;25;28;378;1149;3239;290;200;5316
292080 MARCIONILIO SOUZA;5;7;28;206;680;2505;268;113;3812
292090 MASCOTE;8;10;25;328;1152;3015;261;66;4865
292100 MATA DE SAO JOAO;21;76;131;1122;3693;10097;993;47;16180
292105 MATINA;3;17;25;302;917;2397;179;111;3951
292110 MEDEIROS NETO;3;20;50;353;1408;5198;514;45;7591
292120 MIGUEL CALMON;9;28;52;605;1796;6260;900;51;9701
292130 MILAGRES;10;16;17;246;754;2737;311;32;4123
292140 MIRANGABA;11;19;22;318;1174;3079;208;189;5020
292145 MIRANTE;7;5;15;150;495;1518;114;225;2529
292150 MONTE SANTO;40;33;68;982;3448;10732;1098;1094;17495
292160 MORPARA;1;8;18;187;695;1666;134;42;2751
292170 MORRO DO CHAPEU;19;30;65;998;3204;8364;678;47;13405
292180 MORTUGABA;5;16;16;184;651;1906;174;9;2961
292190 MUCUGE;5;18;18;295;1067;2586;188;8;4185
292200 MUCURI;17;34;58;904;3331;9656;756;29;14785
292205 MULUNGU DO MORRO;4;10;35;299;1108;3493;388;65;5402
292210 MUNDO NOVO;3;15;32;379;1307;4533;562;68;6899
292220 MUNIZ FERREIRA;-;9;14;138;421;1176;116;8;1882
292225 MUQUEM DE SAO FRANCISCO;5;13;27;258;953;2534;209;46;4045
292230 MURITIBA;9;48;56;525;1722;4889;463;74;7786
292240 MUTUIPE;11;32;54;480;1580;4698;362;53;7270
292250 NAZARE;15;28;38;500;1550;5275;629;64;8099
292260 NILO PECANHA;1;16;15;286;892;2656;249;291;4406
292265 NORDESTINA;5;15;19;218;732;2646;346;160;4141
292270 NOVA CANAA;3;17;20;267;955;2985;297;15;4559
292273 NOVA FATIMA;6;4;12;91;344;1333;172;36;1998
292275 NOVA IBIA;2;6;9;79;318;1165;179;52;1810
292280 NOVA ITARANA;5;7;15;183;569;1673;154;40;2646
292285 NOVA REDENCAO;6;9;11;177;548;1684;153;198;2786
292290 NOVA SOURE;11;26;41;532;1632;5503;609;178;8532
292300 NOVA VICOSA;13;55;81;821;3044;8624;704;50;13392
292303 NOVO HORIZONTE;3;13;14;160;667;2172;183;17;3229
292305 NOVO TRIUNFO;1;2;9;141;587;1910;202;58;2910
292310 OLINDINA;7;22;52;434;1312;5864;921;25;8637
292320 OLIVEIRA DOS BREJINHOS;9;18;43;409;1431;4311;387;117;6725
292330 OURICANGAS;3;6;8;140;498;1490;154;27;2326
292335 OUROLANDIA;12;16;39;441;1604;4393;362;46;6913
292340 PALMAS DE MONTE ALTO;2;31;45;574;1741;3908;248;12;6561
292350 PALMEIRAS;2;8;26;192;618;2173;219;60;3298
292360 PARAMIRIM;3;27;23;312;1189;3761;306;6;5627
292370 PARATINGA;13;30;43;603;2130;7792;808;9;11428
292380 PARIPIRANGA;6;19;32;402;1485;5388;787;49;8168
292390 PAU BRASIL;10;17;21;291;981;2892;262;31;4505
292400 PAULO AFONSO;80;200;305;2865;9421;27688;2482;19;43060
292405 PE DE SERRA;4;11;14;216;695;2714;264;137;4055
292410 PEDRAO;7;5;6;136;406;953;95;114;1722
292420 PEDRO ALEXANDRE;2;18;25;304;976;3172;314;9;4820
292430 PIATA;2;18;22;304;1225;4436;475;37;6519
292440 PILAO ARCADO;3;21;48;714;2885;8347;578;378;12974
292450 PINDAI;4;19;22;270;929;2926;254;80;4504
292460 PINDOBACU;15;20;48;468;1472;4579;466;10;7078
292465 PINTADAS;1;8;9;161;592;1700;140;30;2641
292467 PIRAI DO NORTE;3;7;12;164;516;1829;214;6;2751
292470 PIRIPA;3;7;15;152;538;1694;160;76;2645
292480 PIRITIBA;9;26;37;311;1025;4402;589;54;6453
292490 PLANALTINO;1;4;13;129;409;1535;150;62;2303
292500 PLANALTO;6;29;47;675;2251;5256;359;155;8778
292510 POCOES;18;43;96;995;3452;10357;917;960;16838
292520 POJUCA;7;50;106;916;2982;7851;645;22;12579
292525 PONTO NOVO;11;22;42;416;1272;4115;424;31;6333
292530 PORTO SEGURO;50;246;415;4106;13378;37085;3230;598;59108
292540 POTIRAGUA;3;8;22;191;626;2119;292;11;3272
292550 PRADO;5;25;47;498;1767;7091;1166;56;10655
292560 PRESIDENTE DUTRA;4;20;22;269;942;3079;319;19;4674
292570 PRESIDENTE JANIO QUADROS;4;10;24;199;719;2243;226;53;3478
292575 PRESIDENTE TANCREDO NEVES;14;28;52;538;1938;6210;653;70;9503
292580 QUEIMADAS;5;18;46;474;1384;5582;595;51;8155
292590 QUIJINGUE;9;24;42;457;1794;5599;524;41;8490
292593 QUIXABEIRA;2;10;14;137;631;1850;136;11;2791
292595 RAFAEL JAMBEIRO;7;23;40;435;1414;4835;508;78;7340
292600 REMANSO;15;54;96;1201;4380;10648;622;106;17122
292610 RETIROLANDIA;4;12;35;272;942;3128;244;16;4653
292620 RIACHAO DAS NEVES;12;22;35;457;1654;4811;415;120;7526
292630 RIACHAO DO JACUIPE;20;23;69;534;1762;6715;722;142;9987
292640 RIACHO DE SANTANA;5;31;69;584;1765;6429;672;5;9560
292650 RIBEIRA DO AMPARO;7;9;22;270;1053;3132;296;65;4854
292660 RIBEIRA DO POMBAL;16;63;86;1313;4458;11683;960;93;18672
292665 RIBEIRAO DO LARGO;6;8;18;154;581;1559;131;38;2495
292670 RIO DE CONTAS;7;19;20;241;733;2259;204;11;3494
292680 RIO DO ANTONIO;5;6;23;272;861;2099;149;60;3475
292690 RIO DO PIRES;3;5;11;136;444;1809;211;8;2627
292700 RIO REAL;13;47;80;807;2690;8734;1089;195;13655
292710 RODELAS;3;11;26;226;732;2286;243;7;3534
292720 RUY BARBOSA;10;45;68;798;2497;7470;652;158;11698
292730 SALINAS DA MARGARIDA;7;16;23;286;774;2537;323;30;3996
292740 SALVADOR;1668;6386;8468;70047;196205;510771;42940;1421;837906
292750 SANTA BARBARA;10;21;42;442;1365;4197;409;190;6676
292760 SANTA BRIGIDA;11;12;34;333;1186;3707;389;4;5676
292770 SANTA CRUZ CABRALIA;5;32;51;639;2203;6545;673;61;10209
292780 SANTA CRUZ DA VITORIA;4;4;11;104;354;1071;107;6;1661
292790 SANTA INES;2;20;13;161;557;2249;329;26;3357
292800 SANTALUZ;9;48;59;758;2759;9181;841;95;13750
292805 SANTA LUZIA;9;10;34;363;1033;2402;230;178;4259
292810 SANTA MARIA DA VITORIA;13;34;66;756;2518;8370;779;54;12590
292820 SANTANA;8;13;27;352;1405;5105;520;100;7530
292830 SANTANOPOLIS;5;5;12;158;534;1545;175;83;2517
292840 SANTA RITA DE CASSIA;13;37;56;610;2045;5834;579;30;9204
292850 SANTA TERESINHA;6;11;11;165;658;2068;271;13;3203
292860 SANTO AMARO;18;93;138;1446;4146;11168;900;32;17941
292870 SANTO ANTONIO DE JESUS;34;166;216;2287;7133;19428;1611;101;30976
292880 SANTO ESTEVAO;19;63;95;1155;3855;10532;923;195;16837
292890 SAO DESIDERIO;16;35;57;720;2489;7195;624;248;11384
292895 SAO DOMINGOS;1;10;13;121;478;1584;166;16;2389
292900 SAO FELIX;2;14;23;268;908;2468;245;13;3941
292905 SAO FELIX DO CORIBE;3;20;21;342;1136;3709;376;11;5618
292910 SAO FELIPE;4;23;27;293;1070;3662;379;30;5488
292920 SAO FRANCISCO DO CONDE;10;62;92;891;2833;7935;764;18;12605
292925 SAO GABRIEL;2;23;55;448;1405;4880;555;108;7476
292930 SAO GONCALO DOS CAMPOS;11;32;72;758;2243;5997;525;222;9860
292935 SAO JOSE DA VITORIA;1;10;11;217;679;1550;108;11;2587
292937 SAO JOSE DO JACUIPE;1;11;26;166;708;2224;203;14;3353
292940 SAO MIGUEL DAS MATAS;-;18;16;250;758;2063;195;9;3309
292950 SAO SEBASTIAO DO PASSE;20;86;101;941;2779;7973;821;108;12829
292960 SAPEACU;5;26;30;403;1206;4002;364;19;6055
292970 SATIRO DIAS;8;24;31;315;955;3656;556;68;5613
292975 SAUBARA;1;13;17;231;649;1874;150;6;2941
292980 SAUDE;3;6;27;236;690;2481;278;50;3771
292990 SEABRA;5;44;80;1045;3780;10332;818;18;16122
293000 SEBASTIAO LARANJEIRAS;7;9;12;165;526;1579;132;91;2521
293010 SENHOR DO BONFIM;39;120;212;1959;6588;16811;1283;24;27036
293015 SERRA DO RAMALHO;7;34;57;552;1890;8144;1236;24;11944
293020 SENTO SE;19;36;60;727;2389;8824;1042;52;13149
293030 SERRA DOURADA;4;13;38;224;917;3921;496;6;5619
293040 SERRA PRETA;1;9;30;314;1033;2741;217;100;4445
293050 SERRINHA;36;73;124;1624;5707;17992;1663;1378;28597
293060 SERROLANDIA;5;7;12;234;776;2680;266;13;3993
293070 SIMOES FILHO;63;261;387;3440;10630;27955;2501;138;45375
293075 SITIO DO MATO;5;11;21;197;696;2925;404;7;4266
293076 SITIO DO QUINTO;2;7;14;186;645;2568;300;10;3732
293077 SOBRADINHO;10;39;54;651;2084;6236;584;11;9669
293080 SOUTO SOARES;6;18;41;385;1308;3994;351;62;6165
293090 TABOCAS DO BREJO VELHO;3;10;4;156;612;2366;286;102;3539
293100 TANHACU;9;16;41;509;1566;3696;237;52;6126
293105 TANQUE NOVO;3;18;36;320;1084;3257;278;14;5010
293110 TANQUINHO;3;8;13;158;522;1415;118;17;2254
293120 TAPEROA;11;17;45;422;1513;3959;309;215;6491
293130 TAPIRAMUTA;6;21;41;352;1200;3917;444;13;5994
293135 TEIXEIRA DE FREITAS;52;210;376;3727;12333;36576;2830;577;56681
293140 TEODORO SAMPAIO;1;8;15;130;452;1161;103;84;1954
293150 TEOFILANDIA;3;17;46;489;1390;4317;405;358;7025
293160 TEOLANDIA;5;7;18;244;917;3174;366;34;4765
293170 TERRA NOVA;4;15;24;293;730;2210;179;25;3480
293180 TREMEDAL;11;12;13;286;1005;2785;258;183;4553
293190 TUCANO;12;41;75;771;2833;9685;1085;147;14649
293200 UAUA;8;26;42;417;1223;5442;855;85;8098
293210 UBAIRA;8;18;34;395;1280;4353;557;36;6681
293220 UBAITABA;11;30;43;579;1775;4990;527;57;8012
293230 UBATA;6;24;39;459;1583;4624;436;121;7292
293240 UIBAI;4;14;21;248;865;2775;284;12;4223
293245 UMBURANAS;13;9;18;250;943;2887;256;16;4392
293250 UNA;8;38;37;520;1658;4930;444;65;7700
293260 URANDI;4;20;34;343;1075;3348;242;39;5105
293270 URUCUCA;7;32;58;595;1941;5023;377;211;8244
293280 UTINGA;4;17;33;391;1323;4803;476;85;7132
293290 VALENCA;39;118;201;2308;7841;21280;1760;304;33851
293300 VALENTE;6;30;47;530;1680;4737;356;12;7398
293305 VARZEA DA ROCA;5;8;25;177;693;2722;283;15;3928
293310 VARZEA DO POCO;5;5;16;96;468;1741;207;3;2541
293315 VARZEA NOVA;5;15;26;262;887;3092;345;7;4639
293317 VARZEDO;1;7;33;192;632;1723;168;30;2786
293320 VERA CRUZ;8;49;83;836;2566;8152;858;21;12573
293325 VEREDA;1;3;6;100;382;1190;124;4;1810
293330 VITORIA DA CONQUISTA;309;653;1050;10358;32066;76452;4914;534;126336
293340 WAGNER;-;2;10;171;633;2222;196;6;3240
293345 WANDERLEY;8;12;16;252;899;3052;311;76;4626
293350 WENCESLAU GUIMARAES;4;25;42;554;1942;5595;509;20;8691
293360 XIQUE-XIQUE;15;64;101;1007;3211;14645;2004;83;21130
 MUNICIPIO IGNORADO - MG;-;9;9;41;82;169;14;4;328
310010 ABADIA DOS DOURADOS;1;10;5;108;417;1015;38;7;1601
310020 ABAETE;3;32;43;452;1356;3910;242;15;6053
310030 ABRE CAMPO;1;17;38;303;1062;2595;136;5;4157
310040 ACAIACA;1;8;18;86;289;652;57;-;1111
310050 ACUCENA;2;10;24;216;732;1652;94;22;2752
310060 AGUA BOA;2;9;28;261;973;3039;261;237;4810
310070 AGUA COMPRIDA;-;1;4;42;106;291;12;-;456
310080 AGUANIL;1;2;6;58;263;588;22;-;940
310090 AGUAS FORMOSAS;5;22;45;434;1542;4351;397;16;6812
310100 AGUAS VERMELHAS;6;12;35;301;1050;2480;154;37;4075
310110 AIMORES;1;27;48;440;1594;5212;493;8;7823
