 Nascidos vivos - Brasil;;;;
Nascim p/resid.mãe por Município e Sexo;;;;
Período:2000-2022;;;;
Município;Masc;Fem;Ign;Total
315320 PRESIDENTE JUSCELINO;508;486;1;995
315330 PRESIDENTE KUBITSCHEK;539;556;-;1095
315340 PRESIDENTE OLEGARIO;2539;2313;8;4860
315350 ALTO JEQUITIBA;1380;1231;-;2611
315360 PRUDENTE DE MORAIS;1668;1552;1;3221
315370 QUARTEL GERAL;421;369;1;791
315380 QUELUZITO;219;174;-;393
315390 RAPOSOS;2389;2269;-;4658
315400 RAUL SOARES;3333;3164;5;6502
315410 RECREIO;1189;1158;-;2347
315415 REDUTO;1256;1211;-;2467
315420 RESENDE COSTA;1598;1493;5;3096
315430 RESPLENDOR;2673;2586;3;5262
315440 RESSAQUINHA;730;650;-;1380
315445 RIACHINHO;1039;961;-;2000
315450 RIACHO DOS MACHADOS;1598;1585;1;3184
315460 RIBEIRAO DAS NEVES;54234;51837;57;106128
315470 RIBEIRAO VERMELHO;456;472;-;928
315480 RIO ACIMA;1401;1411;1;2813
315490 RIO CASCA;2199;2315;5;4519
315500 RIO DOCE;260;279;-;539
315510 RIO DO PRADO;725;704;1;1430
315520 RIO ESPERA;642;591;-;1233
315530 RIO MANSO;505;512;-;1017
315540 RIO NOVO;1141;1058;1;2200
315550 RIO PARANAIBA;1662;1590;-;3252
315560 RIO PARDO DE MINAS;4932;4958;-;9890
315570 RIO PIRACICABA;1997;1819;7;3823
315580 RIO POMBA;2259;2216;2;4477
315590 RIO PRETO;601;564;-;1165
315600 RIO VERMELHO;2188;2134;3;4325
315610 RITAPOLIS;571;527;-;1098
315620 ROCHEDO DE MINAS;321;293;-;614
315630 RODEIRO;1175;1089;-;2264
315640 ROMARIA;435;377;-;812
315645 ROSARIO DA LIMEIRA;617;564;3;1184
315650 RUBELITA;1007;951;-;1958
315660 RUBIM;1445;1392;-;2837
315670 SABARA;20925;20022;39;40986
315680 SABINOPOLIS;2466;2323;1;4790
315690 SACRAMENTO;3675;3536;1;7212
315700 SALINAS;6650;6226;6;12882
315710 SALTO DA DIVISA;979;985;3;1967
315720 SANTA BARBARA;4904;4614;4;9522
315725 SANTA BARBARA DO LESTE;1359;1332;-;2691
315727 SANTA BARBARA DO MONTE VERDE;350;353;-;703
315730 SANTA BARBARA DO TUGURIO;532;530;-;1062
315733 SANTA CRUZ DE MINAS;1171;1092;3;2266
315737 SANTA CRUZ DE SALINAS;678;618;-;1296
315740 SANTA CRUZ DO ESCALVADO;591;601;1;1193
315750 SANTA EFIGENIA DE MINAS;758;723;2;1483
315760 SANTA FE DE MINAS;555;555;1;1111
315765 SANTA HELENA DE MINAS;1153;1156;1;2310
315770 SANTA JULIANA;1920;1827;4;3751
315780 SANTA LUZIA;37398;35687;47;73132
315790 SANTA MARGARIDA;2855;2665;2;5522
315800 SANTA MARIA DE ITABIRA;1716;1628;1;3345
315810 SANTA MARIA DO SALTO;636;642;1;1279
315820 SANTA MARIA DO SUACUI;2468;2368;5;4841
315830 SANTANA DA VARGEM;975;950;-;1925
315840 SANTANA DE CATAGUASES;393;342;-;735
315850 SANTANA DE PIRAPAMA;790;834;1;1625
315860 SANTANA DO DESERTO;421;426;1;848
315870 SANTANA DO GARAMBEU;324;281;-;605
315880 SANTANA DO JACARE;652;578;-;1230
315890 SANTANA DO MANHUACU;1571;1424;-;2995
315895 SANTANA DO PARAISO;5620;5427;2;11049
315900 SANTANA DO RIACHO;498;485;1;984
315910 SANTANA DOS MONTES;508;458;1;967
315920 SANTA RITA DE CALDAS;957;947;2;1906
315930 SANTA RITA DE JACUTINGA;490;532;6;1028
315935 SANTA RITA DE MINAS;1116;1137;-;2253
315940 SANTA RITA DE IBITIPOCA;456;478;-;934
315950 SANTA RITA DO ITUETO;958;910;1;1869
315960 SANTA RITA DO SAPUCAI;6000;5767;12;11779
315970 SANTA ROSA DA SERRA;407;435;-;842
315980 SANTA VITORIA;2762;2667;2;5431
315990 SANTO ANTONIO DO AMPARO;2686;2651;5;5342
316000 SANTO ANTONIO DO AVENTUREIRO;318;320;-;638
316010 SANTO ANTONIO DO GRAMA;652;576;-;1228
316020 SANTO ANTONIO DO ITAMBE;623;600;-;1223
316030 SANTO ANTONIO DO JACINTO;1635;1489;6;3130
316040 SANTO ANTONIO DO MONTE;4062;4022;1;8085
316045 SANTO ANTONIO DO RETIRO;1080;1035;1;2116
316050 SANTO ANTONIO DO RIO ABAIXO;227;232;1;460
316060 SANTO HIPOLITO;406;418;1;825
316070 SANTOS DUMONT;6698;6387;-;13085
316080 SAO BENTO ABADE;908;811;-;1719
316090 SAO BRAS DO SUACUI;403;417;1;821
316095 SAO DOMINGOS DAS DORES;987;991;-;1978
316100 SAO DOMINGOS DO PRATA;2262;2081;4;4347
316105 SAO FELIX DE MINAS;457;478;1;936
316110 SAO FRANCISCO;10480;10105;3;20588
316120 SAO FRANCISCO DE PAULA;833;811;1;1645
316130 SAO FRANCISCO DE SALES;710;631;3;1344
316140 SAO FRANCISCO DO GLORIA;659;629;1;1289
316150 SAO GERALDO;1108;1045;1;2154
316160 SAO GERALDO DA PIEDADE;660;615;2;1277
316165 SAO GERALDO DO BAIXIO;452;448;1;901
316170 SAO GONCALO DO ABAETE;820;804;1;1625
316180 SAO GONCALO DO PARA;1541;1446;-;2987
316190 SAO GONCALO DO RIO ABAIXO;1547;1441;7;2995
316200 SAO GONCALO DO SAPUCAI;4077;3990;2;8069
316210 SAO GOTARDO;6617;6571;3;13191
316220 SAO JOAO BATISTA DO GLORIA;994;893;-;1887
316225 SAO JOAO DA LAGOA;579;557;1;1137
316230 SAO JOAO DA MATA;343;318;-;661
316240 SAO JOAO DA PONTE;3690;3456;14;7160
316245 SAO JOAO DAS MISSOES;2823;2657;2;5482
316250 SAO JOAO DEL REI;11880;11370;15;23265
316255 SAO JOAO DO MANHUACU;2021;1924;3;3948
316257 SAO JOAO DO MANTENINHA;845;813;1;1659
316260 SAO JOAO DO ORIENTE;1245;1164;1;2410
316265 SAO JOAO DO PACUI;515;519;2;1036
316270 SAO JOAO DO PARAISO;3409;3236;2;6647
316280 SAO JOAO EVANGELISTA;2467;2355;2;4824
316290 SAO JOAO NEPOMUCENO;3583;3379;6;6968
316292 SAO JOAQUIM DE BICAS;4252;4038;5;8295
316294 SAO JOSE DA BARRA;952;945;-;1897
316295 SAO JOSE DA LAPA;3529;3330;7;6866
316300 SAO JOSE DA SAFIRA;760;734;-;1494
316310 SAO JOSE DA VARGINHA;524;511;-;1035
316320 SAO JOSE DO ALEGRE;587;569;-;1156
316330 SAO JOSE DO DIVINO;553;513;1;1067
316340 SAO JOSE DO GOIABAL;748;752;-;1500
316350 SAO JOSE DO JACURI;898;883;2;1783
316360 SAO JOSE DO MANTIMENTO;460;461;-;921
316370 SAO LOURENCO;6353;6252;2;12607
316380 SAO MIGUEL DO ANTA;877;785;-;1662
316390 SAO PEDRO DA UNIAO;531;501;1;1033
316400 SAO PEDRO DOS FERROS;1095;1069;4;2168
316410 SAO PEDRO DO SUACUI;762;722;5;1489
316420 SAO ROMAO;1493;1463;1;2957
316430 SAO ROQUE DE MINAS;756;794;-;1550
316440 SAO SEBASTIAO DA BELA VISTA;816;791;1;1608
316443 SAO SEBASTIAO DA VARGEM ALEGRE;364;366;-;730
316447 SAO SEBASTIAO DO ANTA;1076;1054;-;2130
316450 SAO SEBASTIAO DO MARANHAO;1568;1519;7;3094
316460 SAO SEBASTIAO DO OESTE;1043;1029;1;2073
316470 SAO SEBASTIAO DO PARAISO;10680;10433;8;21121
316480 SAO SEBASTIAO DO RIO PRETO;186;184;-;370
316490 SAO SEBASTIAO DO RIO VERDE;253;239;-;492
316500 SAO TIAGO;1451;1418;1;2870
316510 SAO TOMAS DE AQUINO;1029;1081;-;2110
316520 SAO THOME DAS LETRAS;861;850;-;1711
316530 SAO VICENTE DE MINAS;989;1007;-;1996
316540 SAPUCAI-MIRIM;1015;967;-;1982
316550 SARDOA;939;870;-;1809
316553 SARZEDO;5142;4892;7;10041
316555 SETUBINHA;2177;2105;2;4284
316556 SEM-PEIXE;262;257;-;519
316557 SENADOR AMARAL;1137;1062;2;2201
316560 SENADOR CORTES;317;329;1;647
316570 SENADOR FIRMINO;1018;934;-;1952
316580 SENADOR JOSE BENTO;177;147;-;324
316590 SENADOR MODESTINO GONCALVES;634;578;-;1212
316600 SENHORA DE OLIVEIRA;733;733;-;1466
316610 SENHORA DO PORTO;546;534;-;1080
316620 SENHORA DOS REMEDIOS;1270;1178;1;2449
316630 SERICITA;1346;1264;-;2610
316640 SERITINGA;239;226;-;465
316650 SERRA AZUL DE MINAS;713;675;-;1388
316660 SERRA DA SAUDADE;84;69;-;153
316670 SERRA DOS AIMORES;1372;1301;1;2674
316680 SERRA DO SALITRE;1779;1770;1;3550
316690 SERRANIA;1269;1206;-;2475
316695 SERRANOPOLIS DE MINAS;659;624;-;1283
316700 SERRANOS;287;269;-;556
316710 SERRO;3512;3516;1;7029
316720 SETE LAGOAS;33772;32468;9;66249
316730 SILVEIRANIA;264;266;-;530
316740 SILVIANOPOLIS;739;733;-;1472
316750 SIMAO PEREIRA;362;329;1;692
316760 SIMONESIA;3447;3248;1;6696
316770 SOBRALIA;808;726;1;1535
316780 SOLEDADE DE MINAS;726;783;-;1509
316790 TABULEIRO;511;502;-;1013
316800 TAIOBEIRAS;5759;5518;2;11279
316805 TAPARUBA;464;477;-;941
316810 TAPIRA;548;504;1;1053
316820 TAPIRAI;202;143;-;345
316830 TAQUARACU DE MINAS;443;410;-;853
316840 TARUMIRIM;1791;1762;4;3557
316850 TEIXEIRAS;1523;1425;2;2950
316860 TEOFILO OTONI;24389;23313;36;47738
316870 TIMOTEO;12139;11453;8;23600
316880 TIRADENTES;977;921;1;1899
316890 TIROS;859;790;2;1651
316900 TOCANTINS;2229;2075;-;4304
316905 TOCOS DO MOJI;424;353;-;777
316910 TOLEDO;763;721;1;1485
316920 TOMBOS;1299;1163;-;2462
316930 TRES CORACOES;12501;12143;1;24645
316935 TRES MARIAS;4553;4470;5;9028
316940 TRES PONTAS;9055;8699;2;17756
316950 TUMIRITINGA;971;920;1;1892
316960 TUPACIGUARA;3105;2849;2;5956
316970 TURMALINA;2930;2683;1;5614
316980 TURVOLANDIA;669;604;-;1273
316990 UBA;15283;14484;3;29770
317000 UBAI;1886;1789;3;3678
317005 UBAPORANGA;1849;1800;-;3649
317010 UBERABA;46315;43369;21;89705
317020 UBERLANDIA;102846;97997;95;200938
317030 UMBURATIBA;484;466;3;953
317040 UNAI;14306;13520;33;27859
317043 UNIAO DE MINAS;609;512;-;1121
317047 URUANA DE MINAS;428;406;2;836
317050 URUCANIA;1656;1613;2;3271
317052 URUCUIA;1821;1685;5;3511
317057 VARGEM ALEGRE;937;875;-;1812
317060 VARGEM BONITA;266;238;-;504
317065 VARGEM GRANDE DO RIO PARDO;775;683;1;1459
317070 VARGINHA;20299;19528;3;39830
317075 VARJAO DE MINAS;1151;1010;-;2161
317080 VARZEA DA PALMA;6053;5798;47;11898
317090 VARZELANDIA;3452;3319;27;6798
317100 VAZANTE;3091;2909;3;6003
317103 VERDELANDIA;1698;1722;-;3420
317107 VEREDINHA;680;672;-;1352
317110 VERISSIMO;408;388;-;796
317115 VERMELHO NOVO;669;658;-;1327
317120 VESPASIANO;20044;18876;20;38940
317130 VICOSA;11289;10692;10;21991
317140 VIEIRAS;443;444;1;888
317150 MATHIAS LOBATO;577;559;2;1138
317160 VIRGEM DA LAPA;1895;1814;2;3711
317170 VIRGINIA;1193;1151;2;2346
317180 VIRGINOPOLIS;1703;1643;6;3352
317190 VIRGOLANDIA;681;712;4;1397
317200 VISCONDE DO RIO BRANCO;6073;5666;24;11763
317210 VOLTA GRANDE;671;649;-;1320
317220 WENCESLAU BRAZ;336;327;-;663
 MUNICIPIO IGNORADO - ES;36;32;-;68
320010 AFONSO CLAUDIO;5241;5070;1;10312
320013 AGUIA BRANCA;1469;1318;6;2793
320016 AGUA DOCE DO NORTE;1944;1856;-;3800
320020 ALEGRE;4846;4563;34;9443
320030 ALFREDO CHAVES;1709;1504;3;3216
320035 ALTO RIO NOVO;1247;1202;-;2449
320040 ANCHIETA;4441;4229;9;8679
320050 APIACA;974;965;-;1939
320060 ARACRUZ;16130;15285;5;31420
320070 ATILIO VIVACQUA;1511;1451;8;2970
320080 BAIXO GUANDU;4804;4528;7;9339
320090 BARRA DE SAO FRANCISCO;7722;7283;3;15008
320100 BOA ESPERANCA;2457;2370;-;4827
320110 BOM JESUS DO NORTE;1264;1149;-;2413
320115 BREJETUBA;2397;2371;1;4769
320120 CACHOEIRO DE ITAPEMIRIM;33399;31336;199;64934
320130 CARIACICA;69705;66251;32;135988
320140 CASTELO;5292;5138;3;10433
320150 COLATINA;18188;17095;145;35428
320160 CONCEICAO DA BARRA;5313;5209;7;10529
320170 CONCEICAO DO CASTELO;2051;1904;-;3955
320180 DIVINO DE SAO LOURENCO;775;707;3;1485
320190 DOMINGOS MARTINS;5729;5267;1;10997
320200 DORES DO RIO PRETO;963;867;-;1830
320210 ECOPORANGA;3948;3801;4;7753
320220 FUNDAO;2929;2826;2;5757
320225 GOVERNADOR LINDENBERG;1354;1256;9;2619
320230 GUACUI;5191;5024;6;10221
320240 GUARAPARI;19575;18903;6;38484
320245 IBATIBA;4314;3932;3;8249
320250 IBIRACU;1755;1728;2;3485
320255 IBITIRAMA;1924;1767;6;3697
320260 ICONHA;1656;1557;1;3214
320265 IRUPI;2036;1951;2;3989
320270 ITAGUACU;1878;1817;-;3695
320280 ITAPEMIRIM;6108;5916;20;12044
320290 ITARANA;1490;1412;3;2905
320300 IUNA;4842;4758;3;9603
320305 JAGUARE;5293;5042;1;10336
320310 JERONIMO MONTEIRO;1567;1559;5;3131
320313 JOAO NEIVA;2386;2252;2;4640
320316 LARANJA DA TERRA;1217;1168;-;2385
320320 LINHARES;28699;27537;11;56247
320330 MANTENOPOLIS;2170;2100;1;4271
320332 MARATAIZES;6067;5849;23;11939
320334 MARECHAL FLORIANO;2498;2398;-;4896
320335 MARILANDIA;1477;1483;11;2971
320340 MIMOSO DO SUL;3719;3514;5;7238
320350 MONTANHA;3252;3013;1;6266
320360 MUCURICI;990;941;-;1931
320370 MUNIZ FREIRE;3123;3021;2;6146
320380 MUQUI;2249;2050;3;4302
320390 NOVA VENECIA;8184;7619;1;15804
320400 PANCAS;3194;2878;5;6077
320405 PEDRO CANARIO;4941;4642;11;9594
320410 PINHEIROS;4440;4376;-;8816
320420 PIUMA;3183;3107;1;6291
320425 PONTO BELO;1067;1035;-;2102
320430 PRESIDENTE KENNEDY;1817;1640;6;3463
320435 RIO BANANAL;2886;2759;-;5645
320440 RIO NOVO DO SUL;1597;1478;5;3080
320450 SANTA LEOPOLDINA;1521;1415;1;2937
320455 SANTA MARIA DE JETIBA;6652;6516;3;13171
320460 SANTA TERESA;3559;3377;3;6939
320465 SAO DOMINGOS DO NORTE;1366;1224;-;2590
320470 SAO GABRIEL DA PALHA;5327;4941;3;10271
320480 SAO JOSE DO CALCADO;1744;1619;1;3364
320490 SAO MATEUS;21398;20264;9;41671
320495 SAO ROQUE DO CANAA;1335;1294;9;2638
320500 SERRA;85268;81505;45;166818
320501 SOORETAMA;5286;5068;1;10355
320503 VARGEM ALTA;3271;3119;32;6422
320506 VENDA NOVA DO IMIGRANTE;3537;3344;-;6881
320510 VIANA;12063;11565;5;23633
320515 VILA PAVAO;1267;1242;1;2510
320517 VILA VALERIO;2226;2215;1;4442
320520 VILA VELHA;72155;67965;33;140153
320530 VITORIA;52726;49726;17;102469
 MUNICIPIO IGNORADO - RJ;254;249;10;513
330010 ANGRA DOS REIS;29665;28403;14;58082
330015 APERIBE;1386;1394;-;2780
330020 ARARUAMA;18851;17726;35;36612
330022 AREAL;1858;1687;2;3547
330023 ARMACAO DOS BUZIOS;6513;6195;12;12720
330025 ARRAIAL DO CABO;4175;4041;8;8224
330030 BARRA DO PIRAI;13360;13003;4;26367
330040 BARRA MANSA;26861;25643;10;52514
330045 BELFORD ROXO;87026;83017;93;170136
330050 BOM JARDIM;3984;3880;2;7866
330060 BOM JESUS DO ITABAPOANA;5890;5677;1;11568
330070 CABO FRIO;33528;31960;102;65590
330080 CACHOEIRAS DE MACACU;8808;8356;37;17201
330090 CAMBUCI;1907;1698;3;3608
330093 CARAPEBUS;1666;1604;2;3272
330095 COMENDADOR LEVY GASPARIAN;1307;1330;1;2638
330100 CAMPOS DOS GOYTACAZES;85651;81659;165;167475
330110 CANTAGALO;2913;2844;4;5761
330115 CARDOSO MOREIRA;1742;1612;1;3355
330120 CARMO;2735;2507;1;5243
330130 CASIMIRO DE ABREU;5782;5556;10;11348
330140 CONCEICAO DE MACABU;3149;2999;8;6156
330150 CORDEIRO;3103;2927;4;6034
330160 DUAS BARRAS;1644;1643;3;3290
330170 DUQUE DE CAXIAS;156606;150770;214;307590
330180 ENGENHEIRO PAULO DE FRONTIN;1591;1648;9;3248
330185 GUAPIMIRIM;8276;7868;2;16146
330187 IGUABA GRANDE;3266;3215;7;6488
330190 ITABORAI;38560;36943;22;75525
330200 ITAGUAI;20875;19855;43;40773
330205 ITALVA;2016;1868;-;3884
330210 ITAOCARA;3334;3140;1;6475
330220 ITAPERUNA;14446;13433;5;27884
330225 ITATIAIA;4593;4458;18;9069
330227 JAPERI;17583;16907;42;34532
330230 LAJE DO MURIAE;1141;1117;3;2261
330240 MACAE;39961;38152;52;78165
330245 MACUCO;1307;1240;5;2552
330250 MAGE;40924;39197;31;80152
330260 MANGARATIBA;5907;5655;8;11570
330270 MARICA;18789;17844;7;36640
330280 MENDES;2415;2249;3;4667
330285 MESQUITA;26599;25254;35;51888
330290 MIGUEL PEREIRA;3627;3504;15;7146
330300 MIRACEMA;4563;4381;26;8970
330310 NATIVIDADE;2305;2163;-;4468
330320 NILOPOLIS;24336;23414;76;47826
330330 NITEROI;71523;68641;63;140227
330340 NOVA FRIBURGO;27138;25801;28;52967
330350 NOVA IGUACU;142888;137339;222;280449
330360 PARACAMBI;6343;6268;2;12613
330370 PARAIBA DO SUL;6189;5979;28;12196
330380 PARATY;6970;6721;1;13692
330385 PATY DO ALFERES;4364;4328;20;8712
330390 PETROPOLIS;47283;44819;24;92126
330395 PINHEIRAL;3589;3392;6;6987
330400 PIRAI;4104;4015;2;8121
330410 PORCIUNCULA;2710;2512;-;5222
330411 PORTO REAL;3117;2977;-;6094
330412 QUATIS;1990;1931;-;3921
330414 QUEIMADOS;27468;26531;110;54109
330415 QUISSAMA;3661;3403;2;7066
330420 RESENDE;19974;19455;8;39437
330430 RIO BONITO;9136;8900;9;18045
330440 RIO CLARO;2560;2445;5;5010
330450 RIO DAS FLORES;1280;1254;5;2539
330452 RIO DAS OSTRAS;19412;18391;28;37831
330455 RIO DE JANEIRO;982528;939768;3746;1926042
330460 SANTA MARIA MADALENA;1327;1281;1;2609
330470 SANTO ANTONIO DE PADUA;5924;5599;1;11524
330475 SAO FRANCISCO DE ITABAPOANA;6901;6487;9;13397
330480 SAO FIDELIS;5220;4884;3;10107
330490 SAO GONCALO;137335;132442;85;269862
330500 SAO JOAO DA BARRA;5660;5425;6;11091
330510 SAO JOAO DE MERITI;79629;75975;99;155703
330513 SAO JOSE DE UBA;1138;1165;-;2303
330515 SAO JOSE DO VALE DO RIO PRETO;3237;3236;3;6476
330520 SAO PEDRO DA ALDEIA;15515;14807;28;30350
330530 SAO SEBASTIAO DO ALTO;1251;1199;2;2452
330540 SAPUCAIA;2261;2109;2;4372
330550 SAQUAREMA;12169;11544;43;23756
330555 SEROPEDICA;12459;12003;12;24474
330560 SILVA JARDIM;3618;3388;-;7006
330570 SUMIDOURO;2516;2285;1;4802
330575 TANGUA;5024;4830;6;9860
330580 TERESOPOLIS;27613;26527;14;54154
330590 TRAJANO DE MORAES;1187;1195;1;2383
330600 TRES RIOS;13574;12948;8;26530
330610 VALENCA;10741;10320;79;21140
330615 VARRE-SAI;2153;1875;-;4028
330620 VASSOURAS;6154;5986;12;12152
330630 VOLTA REDONDA;39138;37324;21;76483
 MUNICIPIO IGNORADO - SP;1936;1764;8;3708
350010 ADAMANTINA;4472;4144;2;8618
350020 ADOLFO;505;445;-;950
350030 AGUAI;5272;5040;-;10312
350040 AGUAS DA PRATA;875;851;-;1726
350050 AGUAS DE LINDOIA;2909;2676;-;5585
350055 AGUAS DE SANTA BARBARA;900;819;-;1719
350060 AGUAS DE SAO PEDRO;323;283;-;606
350070 AGUDOS;6007;5875;1;11883
350075 ALAMBARI;731;724;-;1455
350080 ALFREDO MARCONDES;504;446;-;950
350090 ALTAIR;557;510;-;1067
350100 ALTINOPOLIS;2367;2213;-;4580
350110 ALTO ALEGRE;471;487;-;958
350115 ALUMINIO;3033;2903;1;5937
350120 ALVARES FLORENCE;390;357;-;747
350130 ALVARES MACHADO;4073;3974;-;8047
350140 ALVARO DE CARVALHO;543;574;-;1117
350150 ALVINLANDIA;489;513;1;1003
350160 AMERICANA;30409;29522;3;59934
350170 AMERICO BRASILIENSE;5885;5552;-;11437
350180 AMERICO DE CAMPOS;648;651;-;1299
350190 AMPARO;9560;9187;1;18748
350200 ANALANDIA;578;541;-;1119
350210 ANDRADINA;8220;7721;1;15942
350220 ANGATUBA;3915;3713;-;7628
350230 ANHEMBI;909;875;-;1784
350240 ANHUMAS;586;530;-;1116
350250 APARECIDA;5501;5303;2;10806
350260 APARECIDA D'OESTE;563;536;-;1099
350270 APIAI;4756;4498;-;9254
350275 ARACARIGUAMA;3656;3382;1;7039
350280 ARACATUBA;26479;25228;2;51709
350290 ARACOIABA DA SERRA;4367;4250;-;8617
350300 ARAMINA;690;681;-;1371
350310 ARANDU;979;980;-;1959
350315 ARAPEI;327;276;-;603
350320 ARARAQUARA;30309;28582;5;58896
350330 ARARAS;17750;16952;8;34710
350335 ARCO-IRIS;256;242;-;498
350340 AREALVA;954;961;1;1916
350350 AREIAS;570;586;-;1156
350360 AREIOPOLIS;1776;1799;1;3576
350370 ARIRANHA;1191;1148;1;2340
350380 ARTUR NOGUEIRA;7094;6834;4;13932
350390 ARUJA;15527;14803;5;30335
350395 ASPASIA;242;216;-;458
350400 ASSIS;14086;13655;1;27742
350410 ATIBAIA;23140;21941;4;45085
350420 AURIFLAMA;1943;1859;-;3802
350430 AVAI;755;762;-;1517
350440 AVANHANDAVA;1643;1628;-;3271
350450 AVARE;14517;13783;1;28301
350460 BADY BASSITT;2551;2416;1;4968
350470 BALBINOS;168;163;-;331
350480 BALSAMO;1026;939;-;1965
350490 BANANAL;1493;1355;-;2848
350500 BARAO DE ANTONINA;507;464;-;971
350510 BARBOSA;1065;970;-;2035
350520 BARIRI;4697;4415;1;9113
350530 BARRA BONITA;4464;4231;-;8695
350535 BARRA DO CHAPEU;939;973;-;1912
350540 BARRA DO TURVO;1259;1183;-;2442
350550 BARRETOS;17307;16279;-;33586
350560 BARRINHA;5562;5215;1;10778
350570 BARUERI;63270;60642;18;123930
350580 BASTOS;3503;3427;2;6932
350590 BATATAIS;8420;8084;3;16507
350600 BAURU;54769;52065;10;106844
350610 BEBEDOURO;10983;10461;1;21445
350620 BENTO DE ABREU;382;369;-;751
350630 BERNARDINO DE CAMPOS;1531;1604;-;3135
350635 BERTIOGA;10532;10317;3;20852
350640 BILAC;863;857;-;1720
350650 BIRIGUI;16160;15159;2;31321
350660 BIRITIBA-MIRIM;4740;4384;1;9125
350670 BOA ESPERANCA DO SUL;2362;2189;-;4551
350680 BOCAINA;1658;1588;-;3246
350690 BOFETE;1453;1404;-;2857
350700 BOITUVA;8707;8108;1;16816
350710 BOM JESUS DOS PERDOES;3413;3221;1;6635
350715 BOM SUCESSO DE ITARARE;785;797;-;1582
350720 BORA;112;113;-;225
350730 BORACEIA;715;662;-;1377
350740 BORBOREMA;1886;1745;1;3632
350745 BOREBI;401;364;-;765
350750 BOTUCATU;20232;19106;2;39340
350760 BRAGANCA PAULISTA;25244;24073;6;49323
350770 BRAUNA;743;712;-;1455
350775 BREJO ALEGRE;363;328;-;691
350780 BRODOWSKI;3322;3235;1;6558
350790 BROTAS;3515;3403;1;6919
350800 BURI;4030;3728;-;7758
350810 BURITAMA;2218;2171;-;4389
350820 BURITIZAL;582;527;-;1109
350830 CABRALIA PAULISTA;690;697;-;1387
350840 CABREUVA;8566;7915;2;16483
350850 CACAPAVA;14747;13943;5;28695
350860 CACHOEIRA PAULISTA;4816;4697;3;9516
350870 CACONDE;2765;2570;1;5336
350880 CAFELANDIA;2703;2580;-;5283
350890 CAIABU;555;506;-;1061
350900 CAIEIRAS;15870;15000;3;30873
350910 CAIUA;541;542;-;1083
350920 CAJAMAR;14093;13309;5;27407
350925 CAJATI;6082;5779;-;11861
350930 CAJOBI;1304;1238;2;2544
350940 CAJURU;4332;3909;1;8242
350945 CAMPINA DO MONTE ALEGRE;933;897;-;1830
350950 CAMPINAS;171094;163063;74;334231
350960 CAMPO LIMPO PAULISTA;13079;12392;2;25473
350970 CAMPOS DO JORDAO;9531;8999;4;18534
350980 CAMPOS NOVOS PAULISTA;724;674;-;1398
350990 CANANEIA;2286;2164;-;4450
350995 CANAS;839;780;3;1622
351000 CANDIDO MOTA;4209;4093;-;8302
351010 CANDIDO RODRIGUES;317;257;-;574
351015 CANITAR;913;882;-;1795
351020 CAPAO BONITO;8712;8306;1;17019
351030 CAPELA DO ALTO;3067;3077;-;6144
351040 CAPIVARI;8323;7992;3;16318
351050 CARAGUATATUBA;18604;17786;2;36392
351060 CARAPICUIBA;78301;74810;24;153135
351070 CARDOSO;1530;1477;-;3007
351080 CASA BRANCA;3920;3691;-;7611
351090 CASSIA DOS COQUEIROS;299;277;-;576
351100 CASTILHO;2805;2767;2;5574
351110 CATANDUVA;15864;15180;1;31045
351120 CATIGUA;1007;974;-;1981
351130 CEDRAL;1068;1048;-;2116
351140 CERQUEIRA CESAR;2859;2770;3;5632
351150 CERQUILHO;5702;5498;1;11201
351160 CESARIO LANGE;2633;2487;1;5121
351170 CHARQUEADA;2404;2241;-;4645
351190 CLEMENTINA;1130;1099;-;2229
351200 COLINA;2732;2664;1;5397
351210 COLOMBIA;1135;1048;1;2184
351220 CONCHAL;4870;4640;4;9514
351230 CONCHAS;2813;2504;-;5317
351240 CORDEIROPOLIS;3245;3216;2;6463
351250 COROADOS;669;667;-;1336
351260 CORONEL MACEDO;672;658;-;1330
351270 CORUMBATAI;543;552;1;1096
351280 COSMOPOLIS;9201;8678;6;17885
351290 COSMORAMA;894;812;-;1706
351300 COTIA;44016;42029;14;86059
351310 CRAVINHOS;4995;4613;1;9609
351320 CRISTAIS PAULISTA;1240;1200;-;2440
351330 CRUZALIA;270;278;-;548
351340 CRUZEIRO;12376;11759;9;24144
351350 CUBATAO;21991;21066;5;43062
351360 CUNHA;3339;3018;1;6358
351370 DESCALVADO;4301;4164;-;8465
351380 DIADEMA;74800;71211;22;146033
351385 DIRCE REIS;212;180;1;393
351390 DIVINOLANDIA;1637;1539;-;3176
351400 DOBRADA;1345;1294;-;2639
351410 DOIS CORREGOS;4149;3912;-;8061
351420 DOLCINOPOLIS;272;246;-;518
351430 DOURADO;1130;1046;-;2176
351440 DRACENA;5783;5498;4;11285
351450 DUARTINA;1798;1661;-;3459
351460 DUMONT;1167;1110;-;2277
351470 ECHAPORA;999;939;1;1939
351480 ELDORADO;2848;2608;-;5456
351490 ELIAS FAUSTO;2477;2342;-;4819
351492 ELISIARIO;388;381;-;769
351495 EMBAUBA;317;261;-;578
351500 EMBU DAS ARTES;51124;48453;10;99587
351510 EMBU-GUACU;11330;10493;2;21825
351512 EMILIANOPOLIS;369;360;-;729
351515 ENGENHEIRO COELHO;2806;2602;1;5409
