 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Adeq quant pré-natal*
Período:2000-2022
"Município";"Não fez pré-natal";"Inadequado";"Intermediário";"Adequado";"Mais que adequado";"Não Classificados";"Não informado";"Total"
"260050 AGUAS BELAS";32;1682;235;340;3976;295;12434;18994
"260060 ALAGOINHA";2;259;79;129;1183;59;3122;4833
"260070 ALIANCA";16;1085;254;263;2894;184;9041;13737
"260080 ALTINHO";9;537;184;250;1181;48;4502;6711
"260090 AMARAJI";14;576;186;220;1524;144;5270;7934
"260100 ANGELIM";4;200;61;80;923;32;2427;3727
"260105 ARACOIABA";10;737;177;161;1529;148;4682;7444
"260110 ARARIPINA";37;3424;655;825;8927;335;24792;38995
"260120 ARCOVERDE";13;1682;539;538;6913;443;17440;27568
"260130 BARRA DE GUABIRABA";4;283;76;117;984;62;2978;4504
"260140 BARREIROS";34;1701;518;556;3123;365;12073;18370
"260150 BELEM DE MARIA";-;240;70;103;824;49;2489;3775
"260160 BELEM DE SAO FRANCISCO";11;637;186;203;1637;135;6266;9075
"260170 BELO JARDIM";46;1733;672;1009;6709;193;17928;28290
"260180 BETANIA";1;332;91;116;960;72;3384;4956
"260190 BEZERROS";50;1224;357;569;4034;474;12462;19170
"260200 BODOCO";5;874;148;205;3364;175;9423;14194
"260210 BOM CONSELHO";19;1035;228;297;2925;208;11140;15852
"260220 BOM JARDIM";10;597;201;303;2856;124;7870;11961
"260230 BONITO";16;914;304;359;3743;107;10211;15654
"260240 BREJAO";5;291;67;96;1086;33;2912;4490
"260250 BREJINHO";1;128;30;52;669;12;1798;2690
"260260 BREJO DA MADRE DE DEUS";29;1427;395;552;3698;167;11219;17487
"260270 BUENOS AIRES";3;352;84;58;1084;76;2933;4590
"260280 BUIQUE";13;1746;295;328;4967;329;16109;23787
"260290 CABO DE SANTO AGOSTINHO";219;7005;2325;2156;14136;1310;46491;73642
"260300 CABROBO";22;817;148;211;3451;80;8825;13554
"260310 CACHOEIRINHA";3;457;132;230;1661;52;4344;6879
"260320 CAETES";8;597;132;160;2738;119;6784;10538
"260330 CALCADO";-;135;49;60;904;35;2425;3608
"260340 CALUMBI";-;160;32;59;483;38;1665;2437
"260345 CAMARAGIBE";131;4622;1667;1752;10985;695;32597;52449
"260350 CAMOCIM DE SAO FELIX";7;309;90;140;1332;60;3590;5528
"260360 CAMUTANGA";2;180;38;73;639;65;1904;2901
"260370 CANHOTINHO";8;626;199;210;1992;80;5889;9004
"260380 CAPOEIRAS";6;414;128;160;1676;53;4837;7274
"260390 CARNAIBA";1;282;63;98;1935;43;4493;6915
"260392 CARNAUBEIRA DA PENHA";6;583;125;142;1539;53;4731;7179
"260400 CARPINA";33;1794;750;671;5588;463;15437;24736
"260410 CARUARU";310;8364;3046;5169;33803;318;74802;125812
"260415 CASINHAS";2;216;47;96;1162;23;3116;4662
"260420 CATENDE";18;1157;283;391;2509;237;9082;13677
"260430 CEDRO";1;178;53;75;1067;53;2729;4156
"260440 CHA DE ALEGRIA";2;423;126;119;1130;50;2917;4767
"260450 CHA GRANDE";18;611;266;264;1556;75;4577;7367
"260460 CONDADO";17;719;207;233;1819;241;5224;8460
"260470 CORRENTES";9;416;93;162;1194;95;3843;5812
"260480 CORTES";7;372;83;131;993;75;3760;5421
"260490 CUMARU";2;247;60;102;1025;35;3205;4676
"260500 CUPIRA";5;509;169;302;2153;73;5518;8729
"260510 CUSTODIA";14;672;252;317;3239;177;8360;13031
"260515 DORMENTES";5;342;42;126;1596;27;4352;6490
"260520 ESCADA";49;2388;986;854;3865;654;17020;25816
"260530 EXU";10;943;158;214;2818;102;8689;12934
"260540 FEIRA NOVA";12;466;146;199;1898;94;4879;7694
"260545 FERNANDO DE NORONHA";2;50;11;16;145;9;234;467
"260550 FERREIROS";5;250;81;104;717;67;2474;3698
"260560 FLORES";1;348;88;141;1675;65;4865;7183
"260570 FLORESTA";23;1067;249;286;2434;189;7705;11953
"260580 FREI MIGUELINHO";3;226;71;131;861;19;2543;3854
"260590 GAMELEIRA";7;808;230;226;1435;217;6034;8957
"260600 GARANHUNS";41;3892;1203;1313;13182;528;33297;53456
"260610 GLORIA DO GOITA";21;758;261;294;2033;133;5936;9436
"260620 GOIANA";72;2929;778;822;5297;695;18102;28695
"260630 GRANITO";2;164;31;28;747;26;1574;2572
"260640 GRAVATA";35;1919;846;1032;5804;200;16408;26244
"260650 IATI";4;497;170;202;1699;102;5737;8411
"260660 IBIMIRIM";21;839;165;194;2659;105;7621;11604
"260670 IBIRAJUBA";1;155;31;72;580;20;1657;2516
"260680 IGARASSU";88;3414;1146;1191;7247;1198;21544;35828
"260690 IGUARACY";1;182;33;69;975;17;2487;3764
"260700 INAJA";7;703;134;155;1908;142;4798;7847
"260710 INGAZEIRA";-;45;8;10;464;15;894;1436
"260720 IPOJUCA";78;3963;1052;1122;8530;545;21440;36730
"260730 IPUBI";10;1093;153;251;3180;112;8492;13291
"260740 ITACURUBA";1;102;15;30;448;99;1226;1921
"260750 ITAIBA";12;646;149;185;2116;160;7459;10727
"260760 ILHA DE ITAMARACA";25;737;230;241;1280;284;4370;7167
"260765 ITAMBE";11;831;209;221;2372;235;8251;12130
"260770 ITAPETIM";3;146;32;56;1414;10;3141;4802
"260775 ITAPISSUMA";19;859;271;293;1601;300;5366;8709
"260780 ITAQUITINGA";7;498;145;187;1054;162;3903;5956
"260790 JABOATAO DOS GUARARAPES";912;23395;7517;7266;39639;3629;134244;216602
"260795 JAQUEIRA";4;428;140;152;834;86;3150;4794
"260800 JATAUBA";5;348;84;174;1561;28;4212;6412
"260805 JATOBA";5;462;87;111;1101;161;3638;5565
"260810 JOAO ALFREDO";7;491;156;227;2077;83;6381;9422
"260820 JOAQUIM NABUCO";5;565;171;168;1133;102;4342;6486
"260825 JUCATI";4;276;62;114;1153;38;2699;4346
"260830 JUPI";5;428;114;146;1800;55;4015;6563
"260840 JUREMA";3;328;88;115;1293;42;3672;5541
"260845 LAGOA DO CARRO";8;354;122;154;1394;72;3324;5428
"260850 LAGOA DE ITAENGA";6;595;217;234;1800;162;6027;9041
"260860 LAGOA DO OURO";2;255;34;60;1184;19;3360;4914
"260870 LAGOA DOS GATOS";6;427;89;134;1008;63;3411;5138
"260875 LAGOA GRANDE";19;751;125;159;2258;88;6212;9612
"260880 LAJEDO";11;992;274;337;4247;127;9736;15724
"260890 LIMOEIRO";21;971;253;356;5049;142;12763;19555
"260900 MACAPARANA";10;568;105;139;2414;92;6204;9532
"260910 MACHADOS";8;378;90;90;1106;78;2947;4697
"260915 MANARI";8;445;57;92;1707;65;5383;7757
"260920 MARAIAL";8;428;148;191;906;96;3577;5354
"260930 MIRANDIBA";7;414;87;118;1580;80;4409;6695
"260940 MORENO";63;1908;651;600;3352;274;11635;18483
"260950 NAZARE DA MATA";3;819;238;237;2283;228;6699;10507
"260960 OLINDA";475;12257;4560;4034;22101;4547;90536;138510
"260970 OROBO";16;375;112;193;1666;64;4707;7133
"260980 OROCO";16;448;65;105;1749;35;3824;6242
"260990 OURICURI";25;2294;468;552;6218;280;18588;28425
"261000 PALMARES";20;2750;924;995;5393;601;16686;27369
"261010 PALMEIRINA";1;189;50;68;593;34;2188;3123
"261020 PANELAS";9;617;201;266;1925;148;6304;9470
"261030 PARANATAMA";4;371;69;100;1254;80;3327;5205
"261040 PARNAMIRIM";4;586;150;190;1596;101;5886;8513
"261050 PASSIRA";10;505;182;214;2440;72;6777;10200
"261060 PAUDALHO";33;1764;521;505;4456;300;12795;20374
"261070 PAULISTA";289;8697;3283;2988;17670;2782;54183;89892
"261080 PEDRA";14;558;162;218;1793;100;5984;8829
"261090 PESQUEIRA";48;1449;376;998;5465;163;16214;24713
"261100 PETROLANDIA";4;1118;225;262;4139;281;10520;16549
"261110 PETROLINA";536;12203;3434;3944;35985;983;76893;133978
"261120 POCAO";4;220;52;120;973;28;3093;4490
"261130 POMBOS";14;650;225;284;2144;89;5624;9030
"261140 PRIMAVERA";12;356;118;128;827;85;2904;4430
"261150 QUIPAPA";4;509;200;227;1494;107;5987;8528
"261153 QUIXABA";2;95;21;29;695;19;1430;2291
"261160 RECIFE";1562;45093;14894;14051;106018;8110;325237;514965
"261170 RIACHO DAS ALMAS";5;591;195;309;1632;49;4183;6964
"261180 RIBEIRAO";12;1378;485;480;2050;312;10513;15230
"261190 RIO FORMOSO";16;833;177;211;1710;131;6405;9483
"261200 SAIRE";1;208;80;106;639;60;2437;3531
"261210 SALGADINHO";1;107;27;43;408;17;1114;1717
"261220 SALGUEIRO";16;1560;347;506;6558;168;15438;24593
"261230 SALOA";9;373;65;90;1343;34;3968;5882
"261240 SANHARO";10;499;93;208;1718;63;4642;7233
"261245 SANTA CRUZ";5;502;75;124;1393;37;4284;6420
"261247 SANTA CRUZ DA BAIXA VERDE";3;244;70;122;1027;100;3024;4590
"261250 SANTA CRUZ DO CAPIBARIBE";46;2307;825;1201;7667;296;17906;30248
"261255 SANTA FILOMENA";1;377;30;68;1148;46;3673;5343
"261260 SANTA MARIA DA BOA VISTA";32;1442;211;296;4284;90;12362;18717
"261270 SANTA MARIA DO CAMBUCA";5;386;84;168;1083;17;3059;4802
"261280 SANTA TEREZINHA";-;153;25;51;1019;36;2508;3792
"261290 SAO BENEDITO DO SUL";3;337;146;133;695;57;2617;3988
"261300 SAO BENTO DO UNA";21;1282;333;400;4482;166;12564;19248
"261310 SAO CAITANO";22;857;232;407;3164;98;8690;13470
"261320 SAO JOAO";9;522;145;198;2080;75;5488;8517
"261330 SAO JOAQUIM DO MONTE";4;461;127;193;1950;89;5422;8246
"261340 SAO JOSE DA COROA GRANDE";9;810;337;309;1205;195;4827;7692
"261350 SAO JOSE DO BELMONTE";8;824;174;246;3247;135;8305;12939
"261360 SAO JOSE DO EGITO";14;501;211;246;2875;19;6626;10492
"261370 SAO LOURENCO DA MATA";84;3624;1286;1294;7646;470;21863;36267
"261380 SAO VICENTE FERRER";4;455;99;116;1615;81;4220;6590
"261390 SERRA TALHADA";4;2863;924;1085;7500;885;19070;32331
"261400 SERRITA";5;381;99;135;1704;64;5016;7404
"261410 SERTANIA";14;645;194;215;2573;61;7555;11257
"261420 SIRINHAEM";22;1577;467;434;2595;255;11187;16537
"261430 MOREILANDIA";2;255;70;74;864;50;2274;3589
"261440 SOLIDAO";-;82;14;22;648;18;1448;2232
"261450 SURUBIM";18;1230;410;525;5420;125;12151;19879
"261460 TABIRA";7;441;127;175;2856;120;7024;10750
"261470 TACAIMBO";3;269;79;143;956;26;2636;4112
"261480 TACARATU";10;535;116;131;1919;169;4880;7760
"261485 TAMANDARE";12;928;218;218;1982;162;5657;9177
"261500 TAQUARITINGA DO NORTE";17;715;209;358;1805;79;5729;8912
"261510 TEREZINHA";1;215;26;29;633;18;1633;2555
"261520 TERRA NOVA";2;129;18;44;943;28;2362;3526
"261530 TIMBAUBA";20;1104;311;361;4274;238;13442;19750
"261540 TORITAMA";25;1163;509;691;3214;100;8167;13869
"261550 TRACUNHAEM";6;401;169;203;879;95;3007;4760
"261560 TRINDADE";24;1085;262;309;3360;99;8724;13863
"261570 TRIUNFO";2;224;38;99;1231;95;3193;4882
"261580 TUPANATINGA";6;574;109;164;1996;148;6574;9571
"261590 TUPARETAMA";4;204;45;71;726;10;1917;2977
"261600 VENTUROSA";8;269;110;149;1731;48;4186;6501
"261610 VERDEJANTE";3;184;39;67;904;30;2679;3906
"261618 VERTENTE DO LERIO";1;163;41;67;660;14;2046;2992
"261620 VERTENTES";13;537;143;269;1967;38;4500;7467
"261630 VICENCIA";11;677;152;192;2275;185;6659;10151
"261640 VITORIA DE SANTO ANTAO";117;3554;1461;1490;10692;469;30522;48305
"261650 XEXEU";8;572;160;200;1048;131;4385;6504
" MUNICIPIO IGNORADO - AL";-;-;-;-;1;-;13;14
"270010 AGUA BRANCA";8;684;202;248;1453;129;5694;8418
"270020 ANADIA";20;421;213;213;1041;55;4397;6360
"270030 ARAPIRACA";28;3417;2889;2598;17909;8215;56973;92029
"270040 ATALAIA";51;1552;562;692;2768;192;12260;18077
"270050 BARRA DE SANTO ANTONIO";8;616;242;353;1322;108;3790;6439
"270060 BARRA DE SAO MIGUEL";9;252;105;139;826;43;1987;3361
"270070 BATALHA";4;359;261;284;1432;171;4800;7311
"270080 BELEM";1;111;40;65;447;24;1224;1912
"270090 BELO MONTE";-;130;74;118;478;109;1551;2460
"270100 BOCA DA MATA";14;415;113;157;2297;55;7340;10391
"270110 BRANQUINHA";9;485;150;198;763;72;3217;4894
"270120 CACIMBINHAS";2;300;93;172;812;61;2948;4388
"270130 CAJUEIRO";32;788;352;346;1218;90;6169;8995
"270135 CAMPESTRE";6;191;71;78;378;77;1893;2694
"270140 CAMPO ALEGRE";24;700;179;217;3282;170;10322;14894
"270150 CAMPO GRANDE";1;156;176;173;531;280;2877;4194
"270160 CANAPI";9;624;139;157;1466;108;5050;7553
"270170 CAPELA";7;420;174;203;1123;92;4917;6936
"270180 CARNEIROS";2;255;81;103;956;32;2576;4005
"270190 CHA PRETA";11;220;49;77;457;42;2080;2936
"270200 COITE DO NOIA";2;134;64;93;788;331;2744;4156
"270210 COLONIA LEOPOLDINA";2;532;177;201;1024;450;5671;8057
"270220 COQUEIRO SECO";2;155;67;95;387;22;1417;2145
"270230 CORURIPE";8;2286;656;610;3884;387;14256;22087
"270235 CRAIBAS";3;483;347;324;1830;774;6534;10295
"270240 DELMIRO GOUVEIA";25;1699;723;705;3780;334;13571;20837
"270250 DOIS RIACHOS";1;271;70;115;783;36;3191;4467
"270255 ESTRELA DE ALAGOAS";1;368;209;300;1059;87;3680;5704
"270260 FEIRA GRANDE";-;282;250;234;1542;738;5605;8651
"270270 FELIZ DESERTO";2;164;43;40;330;59;1082;1720
"270280 FLEXEIRAS";4;369;117;194;904;68;3569;5225
"270290 GIRAU DO PONCIANO";3;522;421;402;2446;1196;9153;14143
"270300 IBATEGUARA";3;601;198;246;1128;131;4159;6466
"270310 IGACI";2;462;320;376;1659;300;5847;8966
"270320 IGREJA NOVA";2;286;100;174;1349;1201;6277;9389
"270330 INHAPI";3;669;161;181;1566;42;5401;8023
"270340 JACARE DOS HOMENS";-;114;34;60;535;114;1878;2735
"270350 JACUIPE";2;145;23;41;259;37;1779;2286
"270360 JAPARATINGA";6;316;137;143;584;109;2252;3547
"270370 JARAMATAIA";1;123;78;76;438;146;1636;2498
"270375 JEQUIA DA PRAIA";2;301;93;117;774;27;2526;3840
"270380 JOAQUIM GOMES";9;734;208;229;1712;195;7407;10494
"270390 JUNDIA";2;111;24;42;307;16;1018;1520
"270400 JUNQUEIRO";3;347;119;178;1992;497;6126;9262
"270410 LAGOA DA CANOA";2;316;244;253;1360;653;5044;7872
"270420 LIMOEIRO DE ANADIA";1;302;261;250;1692;727;5584;8817
"270430 MACEIO";1233;30053;14945;15825;61693;5261;223834;352844
"270440 MAJOR ISIDORO";1;350;155;214;1207;399;4789;7115
"270450 MARAGOGI";26;1357;610;597;2085;324;7819;12818
"270460 MARAVILHA";2;269;74;113;910;23;2632;4023
"270470 MARECHAL DEODORO";33;1561;650;1064;4399;271;11749;19727
"270480 MARIBONDO";1;269;180;173;743;237;3334;4937
"270490 MAR VERMELHO";1;59;32;40;150;10;746;1038
"270500 MATA GRANDE";3;671;193;223;1792;96;6279;9257
"270510 MATRIZ DE CAMARAGIBE";14;843;340;452;1798;228;6903;10578
"270520 MESSIAS";24;545;197;241;1313;96;4476;6892
"270530 MINADOR DO NEGRAO";-;131;49;71;422;28;1503;2204
"270540 MONTEIROPOLIS";1;224;68;88;652;29;2192;3254
"270550 MURICI";32;1384;474;386;1851;161;8254;12542
"270560 NOVO LINO";7;339;146;176;565;66;3138;4437
"270570 OLHO D'AGUA DAS FLORES";3;597;296;307;1825;120;5846;8994
"270580 OLHO D'AGUA DO CASADO";2;258;100;106;724;59;2275;3524
"270590 OLHO D'AGUA GRANDE";-;119;85;76;290;197;1331;2098
"270600 OLIVENCA";2;267;85;143;1133;27;2809;4466
"270610 OURO BRANCO";3;299;79;115;1105;20;3002;4623
"270620 PALESTINA";3;215;42;68;402;7;1538;2275
"270630 PALMEIRA DOS INDIOS";1;2086;1157;1264;6298;427;20070;31303
"270640 PAO DE ACUCAR";8;904;288;280;1953;101;7061;10595
"270642 PARICONHA";3;323;67;79;1003;51;2717;4243
"270644 PARIPUEIRA";9;423;189;315;993;65;2870;4864
"270650 PASSO DE CAMARAGIBE";3;411;167;270;995;78;4040;5964
"270660 PAULO JACINTO";2;144;30;59;581;31;1719;2566
"270670 PENEDO";18;665;254;305;4022;3297;17205;25766
"270680 PIACABUCU";2;312;150;169;1064;932;5004;7633
"270690 PILAR";31;945;371;524;3193;203;8765;14032
"270700 PINDOBA";2;54;15;22;190;8;711;1002
"270710 PIRANHAS";4;691;240;324;2407;169;7465;11300
"270720 POCO DAS TRINCHEIRAS";4;469;183;156;1064;22;3771;5669
"270730 PORTO CALVO";12;751;131;315;2174;283;8027;11693
"270740 PORTO DE PEDRAS";2;255;81;132;643;89;1770;2972
"270750 PORTO REAL DO COLEGIO";8;386;244;279;1146;574;4987;7624
"270760 QUEBRANGULO";4;321;120;153;1036;95;2757;4486
"270770 RIO LARGO";167;2914;1649;1417;4875;526;15625;27173
"270780 ROTEIRO";5;252;100;138;622;20;2574;3711
"270790 SANTA LUZIA DO NORTE";8;272;87;142;495;34;1838;2876
"270800 SANTANA DO IPANEMA";14;1277;541;640;4792;86;13647;20997
"270810 SANTANA DO MUNDAU";2;357;107;166;961;32;2653;4278
"270820 SAO BRAS";3;142;83;65;418;171;1724;2606
"270830 SAO JOSE DA LAJE";19;803;389;359;1686;126;6734;10116
"270840 SAO JOSE DA TAPERA";4;934;167;192;3524;187;9606;14614
"270850 SAO LUIS DO QUITUNDE";29;1270;458;558;2075;355;10175;14920
"270860 SAO MIGUEL DOS CAMPOS";51;1636;762;670;4649;63;16548;24379
"270870 SAO MIGUEL DOS MILAGRES";4;235;81;132;621;55;1411;2539
"270880 SAO SEBASTIAO";7;569;422;419;2091;1115;9874;14497
"270890 SATUBA";31;476;240;274;1441;64;2412;4938
"270895 SENADOR RUI PALMEIRA";4;367;65;75;1273;39;3742;5565
"270900 TANQUE D'ARCA";-;105;52;76;340;92;1318;1983
"270910 TAQUARANA";1;239;135;186;1432;565;4993;7551
"270915 TEOTONIO VILELA";9;872;175;233;4124;240;12535;18188
"270920 TRAIPU";6;490;315;249;1373;620;6367;9420
"270930 UNIAO DOS PALMARES";46;2215;741;856;5676;287;18780;28601
"270940 VICOSA";24;757;239;309;2018;147;7454;10948
" MUNICIPIO IGNORADO - SE";-;-;-;-;-;-;21;21
"280010 AMPARO DE SAO FRANCISCO";-;69;34;47;176;11;505;842
"280020 AQUIDABA";2;534;233;250;1232;87;4479;6817
