 Nascidos vivos - Brasil;;;;;
Nascim p/resid.mãe por Município e Anomalia congênita;;;;;
Período:2000-2022;;;;;
Município;Sim;Não;Não ou ignorado;Ignorado;Total
311545 CATUJI;31;2629;90;291;3041
311547 CATUTI;3;1368;43;20;1434
311550 CAXAMBU;39;5673;344;11;6067
311560 CEDRO DO ABAETE;3;233;17;17;270
311570 CENTRAL DE MINAS;15;1908;13;13;1949
311580 CENTRALINA;15;2162;106;38;2321
311590 CHACARA;7;480;29;115;631
311600 CHALE;11;1624;65;17;1717
311610 CHAPADA DO NORTE;21;2936;32;257;3246
311615 CHAPADA GAUCHA;22;3758;94;174;4048
311620 CHIADOR;9;535;20;80;644
311630 CIPOTANEA;13;1369;99;32;1513
311640 CLARAVAL;8;438;52;12;510
311650 CLARO DOS POCOES;12;1670;70;97;1849
311660 CLAUDIO;80;7919;391;250;8640
311670 COIMBRA;18;1670;94;9;1791
311680 COLUNA;30;2730;168;15;2943
311690 COMENDADOR GOMES;5;566;31;6;608
311700 COMERCINHO;12;1661;106;63;1842
311710 CONCEICAO DA APARECIDA;18;2557;136;60;2771
311720 CONCEICAO DAS PEDRAS;6;621;44;1;672
311730 CONCEICAO DAS ALAGOAS;55;7872;245;40;8212
311740 CONCEICAO DE IPANEMA;7;1195;70;83;1355
311750 CONCEICAO DO MATO DENTRO;51;5473;355;146;6025
311760 CONCEICAO DO PARA;8;1086;57;149;1300
311770 CONCEICAO DO RIO VERDE;33;3646;240;7;3926
311780 CONCEICAO DOS OUROS;28;2611;124;35;2798
311783 CONEGO MARINHO;6;1794;25;31;1856
311787 CONFINS;7;1819;86;7;1919
311790 CONGONHAL;21;2403;130;9;2563
311800 CONGONHAS;111;15283;717;50;16161
311810 CONGONHAS DO NORTE;8;1343;7;33;1391
311820 CONQUISTA;17;1583;133;36;1769
311830 CONSELHEIRO LAFAIETE;262;35143;1657;148;37210
311840 CONSELHEIRO PENA;57;6110;328;52;6547
311850 CONSOLACAO;5;409;19;9;442
311860 CONTAGEM;1109;179142;10462;5681;196394
311870 COQUEIRAL;13;2190;152;106;2461
311880 CORACAO DE JESUS;35;6664;493;222;7414
311890 CORDISBURGO;6;1472;121;156;1755
311900 CORDISLANDIA;6;875;69;7;957
311910 CORINTO;80;6571;359;423;7433
311920 COROACI;15;1946;159;31;2151
311930 COROMANDEL;38;6872;436;233;7579
311940 CORONEL FABRICIANO;191;26967;1850;3570;32578
311950 CORONEL MURTA;16;2188;45;65;2314
311960 CORONEL PACHECO;5;478;42;132;657
311970 CORONEL XAVIER CHAVES;3;774;43;2;822
311980 CORREGO DANTA;12;554;35;2;603
311990 CORREGO DO BOM JESUS;6;600;43;5;654
311995 CORREGO FUNDO;8;1317;68;4;1397
312000 CORREGO NOVO;9;765;9;32;815
312010 COUTO DE MAGALHAES DE MINAS;4;1194;57;25;1280
312015 CRISOLITA;14;1872;77;28;1991
312020 CRISTAIS;27;2734;159;51;2971
312030 CRISTALIA;7;2011;124;81;2223
312040 CRISTIANO OTONI;8;1398;87;9;1502
312050 CRISTINA;14;2404;156;15;2589
312060 CRUCILANDIA;3;988;50;124;1165
312070 CRUZEIRO DA FORTALEZA;10;1132;52;4;1198
312080 CRUZILIA;31;4495;286;8;4820
312083 CUPARAQUE;15;1360;76;15;1466
312087 CURRAL DE DENTRO;7;2411;115;41;2574
312090 CURVELO;263;21879;1177;210;23529
312100 DATAS;15;1690;87;32;1824
312110 DELFIM MOREIRA;13;1863;139;21;2036
312120 DELFINOPOLIS;12;1724;87;23;1846
312125 DELTA;24;2776;82;7;2889
312130 DESCOBERTO;12;948;52;102;1114
312140 DESTERRO DE ENTRE RIOS;6;1446;82;48;1582
312150 DESTERRO DO MELO;6;744;50;4;804
312160 DIAMANTINA;76;14697;726;260;15759
312170 DIOGO DE VASCONCELOS;4;914;37;4;959
312180 DIONISIO;9;1020;105;515;1649
312190 DIVINESIA;9;964;21;2;996
312200 DIVINO;29;5582;313;1050;6974
312210 DIVINO DAS LARANJEIRAS;12;1313;88;12;1425
312220 DIVINOLANDIA DE MINAS;16;1504;75;708;2303
312230 DIVINOPOLIS;484;57892;2995;141;61512
312235 DIVISA ALEGRE;18;2008;69;62;2157
312240 DIVISA NOVA;13;1407;96;342;1858
312245 DIVISOPOLIS;19;2082;84;17;2202
312247 DOM BOSCO;9;713;31;145;898
312250 DOM CAVATI;6;1377;85;109;1577
312260 DOM JOAQUIM;10;1304;43;82;1439
312270 DOM SILVERIO;4;1086;50;9;1149
312280 DOM VICOSO;7;648;45;-;700
312290 DONA EUSEBIA;9;1425;42;42;1518
312300 DORES DE CAMPOS;10;2223;108;13;2354
312310 DORES DE GUANHAES;11;1052;94;252;1409
312320 DORES DO INDAIA;39;3225;233;11;3508
312330 DORES DO TURVO;7;1095;62;-;1164
312340 DORESOPOLIS;7;360;13;2;382
312350 DOURADOQUARA;4;368;20;4;396
312352 DURANDE;9;2502;112;129;2752
312360 ELOI MENDES;39;6972;446;115;7572
312370 ENGENHEIRO CALDAS;29;2984;172;59;3244
312380 ENGENHEIRO NAVARRO;12;1855;118;101;2086
312385 ENTRE FOLHAS;6;1653;65;11;1735
312390 ENTRE RIOS DE MINAS;15;3509;222;196;3942
312400 ERVALIA;31;5388;298;72;5789
312410 ESMERALDAS;152;18682;475;933;20242
312420 ESPERA FELIZ;16;3545;459;4018;8038
312430 ESPINOSA;66;7319;334;2333;10052
312440 ESPIRITO SANTO DO DOURADO;9;1287;52;16;1364
312450 ESTIVA;22;2538;126;10;2696
312460 ESTRELA DALVA;7;596;19;5;627
312470 ESTRELA DO INDAIA;9;672;54;7;742
312480 ESTRELA DO SUL;9;1644;62;17;1732
