 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Consult pré-natal;;;;;;;
Período:2000-2022;;;;;;;
Município;Nenhuma;De 1 a 3 consultas;De 4 a 6 consultas;De 1 a 6 consultas, não especificado;7 ou mais consultas;Ignorado;Total
313060 INCONFIDENTES;33;49;325;-;1154;15;1576
313065 INDAIABIRA;15;187;632;-;1135;34;2003
313070 INDIANOPOLIS;10;46;378;-;1104;8;1546
313080 INGAI;7;35;146;-;526;-;714
313090 INHAPIM;57;293;2828;-;3573;70;6821
313100 INHAUMA;34;64;419;2;990;188;1697
313110 INIMUTABA;28;97;378;2;1257;12;1774
313115 IPABA;68;583;2366;-;2798;77;5892
313120 IPANEMA;61;412;1992;-;3321;19;5805
313130 IPATINGA;501;3924;23003;-;46173;936;74537
313140 IPIACU;13;19;200;-;737;2;971
313150 IPUIUNA;28;92;553;-;1704;22;2399
313160 IRAI DE MINAS;14;93;517;4;1383;3;2014
313170 ITABIRA;295;1288;8891;68;24013;223;34778
313180 ITABIRINHA;57;230;1104;-;1901;16;3308
313190 ITABIRITO;100;466;5551;-;9581;23;15721
313200 ITACAMBIRA;18;89;404;-;598;28;1137
313210 ITACARAMBI;65;549;2280;-;4496;35;7425
313220 ITAGUARA;17;68;574;-;2875;15;3549
313230 ITAIPE;179;756;1795;-;1857;30;4617
313240 ITAJUBA;307;1254;6127;-;20597;180;28465
313250 ITAMARANDIBA;269;1323;4018;-;6094;61;11765
313260 ITAMARATI DE MINAS;5;30;250;-;676;8;969
313270 ITAMBACURI;319;1228;3446;-;3819;182;8994
313280 ITAMBE DO MATO DENTRO;9;31;168;4;307;2;521
313290 ITAMOGI;38;89;479;-;2166;17;2789
313300 ITAMONTE;21;48;387;-;3652;1;4109
313310 ITANHANDU;26;82;555;-;3576;1;4240
313320 ITANHOMI;38;264;1145;-;2395;26;3868
313330 ITAOBIM;195;754;2288;30;3518;65;6850
313340 ITAPAGIPE;18;65;423;-;2279;17;2802
313350 ITAPECERICA;31;111;991;-;3568;27;4728
313360 ITAPEVA;76;81;395;-;1913;29;2494
313370 ITATIAIUCU;28;62;1366;-;1604;7;3067
313375 ITAU DE MINAS;53;104;753;-;3117;14;4041
313380 ITAUNA;205;768;12811;-;10887;45;24716
313390 ITAVERAVA;34;81;471;-;822;13;1421
313400 ITINGA;82;514;1380;-;1845;60;3881
313410 ITUETA;26;130;580;-;987;12;1735
313420 ITUIUTABA;449;845;6454;-;19894;66;27708
313430 ITUMIRIM;7;91;416;-;1233;3;1750
313440 ITURAMA;71;492;3382;-;7574;87;11606
313450 ITUTINGA;9;59;226;-;733;6;1033
313460 JABOTICATUBAS;83;288;1283;-;2542;35;4231
313470 JACINTO;135;308;856;44;1831;65;3239
313480 JACUI;11;49;320;-;1673;22;2075
313490 JACUTINGA;184;458;2039;-;4267;33;6981
313500 JAGUARACU;11;44;255;-;434;9;753
313505 JAIBA;219;1125;4097;-;7452;91;12984
313507 JAMPRUCA;45;162;552;-;789;14;1562
313510 JANAUBA;222;1481;7724;-;16127;167;25721
313520 JANUARIA;482;3820;9438;-;10253;140;24133
313530 JAPARAIBA;8;16;217;-;901;5;1147
313535 JAPONVAR;11;157;786;-;1505;13;2472
313540 JECEABA;12;36;234;-;979;5;1266
313545 JENIPAPO DE MINAS;22;152;442;-;1075;32;1723
313550 JEQUERI;32;222;1225;-;1763;28;3270
313560 JEQUITAI;20;157;659;-;1232;15;2083
313570 JEQUITIBA;36;88;405;-;680;103;1312
313580 JEQUITINHONHA;514;1369;1860;-;2977;90;6810
313590 JESUANIA;9;42;345;-;820;4;1220
313600 JOAIMA;182;669;2553;1;1934;90;5429
313610 JOANESIA;18;114;361;-;606;22;1121
313620 JOAO MONLEVADE;266;585;5120;-;15811;439;22221
313630 JOAO PINHEIRO;204;1759;5965;-;8456;84;16468
313640 JOAQUIM FELICIO;22;145;391;-;552;14;1124
313650 JORDANIA;137;407;932;-;1193;45;2714
313652 JOSE GONCALVES DE MINAS;23;125;440;1;582;31;1202
313655 JOSE RAYDAN;53;167;491;-;525;18;1254
313657 JOSENOPOLIS;38;123;446;-;821;24;1452
313660 NOVA UNIAO;37;88;436;-;1026;22;1609
313665 JUATUBA;84;517;2359;-;5034;71;8065
313670 JUIZ DE FORA;2290;6527;25894;1;111716;2427;148855
313680 JURAMENTO;21;62;335;-;667;1;1086
313690 JURUAIA;18;39;203;-;2695;9;2964
313695 JUVENILIA;30;177;590;-;767;69;1633
313700 LADAINHA;158;777;2003;-;2060;194;5192
313710 LAGAMAR;11;75;468;1;908;6;1469
313720 LAGOA DA PRATA;115;355;2452;-;11074;53;14049
313730 LAGOA DOS PATOS;17;133;434;-;573;15;1172
313740 LAGOA DOURADA;22;223;1683;-;1747;45;3720
313750 LAGOA FORMOSA;35;199;1251;-;2823;88;4396
313753 LAGOA GRANDE;18;137;896;1;1281;13;2346
313760 LAGOA SANTA;155;740;3940;-;11516;131;16482
313770 LAJINHA;67;247;1745;-;4850;150;7059
313780 LAMBARI;39;218;1319;-;4234;25;5835
313790 LAMIM;14;42;292;-;585;24;957
313800 LARANJAL;14;34;268;-;728;30;1074
313810 LASSANCE;14;81;716;-;1190;9;2010
313820 LAVRAS;233;1717;7553;-;21024;30;30557
313830 LEANDRO FERREIRA;2;64;288;1;420;3;778
313835 LEME DO PRADO;25;119;379;-;723;20;1266
313840 LEOPOLDINA;140;562;2941;-;11284;99;15026
313850 LIBERDADE;12;71;314;-;733;7;1137
313860 LIMA DUARTE;57;181;908;-;3022;51;4219
313862 LIMEIRA DO OESTE;7;70;466;-;1287;17;1847
313865 LONTRA;20;163;734;-;1608;25;2550
313867 LUISBURGO;12;58;505;1;1770;6;2352
313868 LUISLANDIA;17;211;766;-;1063;39;2096
313870 LUMINARIAS;12;109;351;-;866;-;1338
313880 LUZ;50;231;1448;2;3052;7;4790
313890 MACHACALIS;46;289;669;-;1338;6;2348
313900 MACHADO;180;884;3315;-;7671;44;12094
313910 MADRE DE DEUS DE MINAS;5;56;424;-;779;5;1269
313920 MALACACHETA;446;1325;2428;-;2617;40;6856
313925 MAMONAS;14;31;223;-;1011;13;1292
313930 MANGA;72;619;2976;-;4931;58;8656
313940 MANHUACU;247;1294;6793;-;23264;135;31733
313950 MANHUMIRIM;89;372;2460;-;4391;144;7456
313960 MANTENA;97;459;2321;-;5468;52;8397
313970 MARAVILHAS;28;113;561;-;1193;79;1974
313980 MAR DE ESPANHA;39;165;790;-;2329;15;3338
313990 MARIA DA FE;39;143;988;-;3179;31;4380
314000 MARIANA;339;972;5923;-;12233;278;19745
314010 MARILAC;41;149;536;-;613;19;1358
314015 MARIO CAMPOS;52;301;1207;-;2958;40;4558
314020 MARIPA DE MINAS;4;14;111;-;555;9;693
314030 MARLIERIA;9;77;371;-;643;5;1105
314040 MARMELOPOLIS;6;41;225;-;575;6;853
314050 MARTINHO CAMPOS;19;225;1132;-;1955;21;3352
314053 MARTINS SOARES;27;112;914;-;1702;38;2793
314055 MATA VERDE;207;366;810;-;1088;29;2500
314060 MATERLANDIA;17;61;249;1;943;11;1282
314070 MATEUS LEME;99;576;3436;-;5524;59;9694
314080 MATIAS BARBOSA;39;118;667;-;2685;67;3576
314085 MATIAS CARDOSO;59;295;1194;-;1606;24;3178
314090 MATIPO;197;524;1776;4;4474;130;7105
314100 MATO VERDE;41;196;867;-;2551;20;3675
314110 MATOZINHOS;160;455;2937;-;7641;105;11298
314120 MATUTINA;3;47;168;-;673;7;898
314130 MEDEIROS;7;17;183;-;630;10;847
314140 MEDINA;230;743;2752;-;2890;34;6649
314150 MENDES PIMENTEL;18;103;475;-;1025;10;1631
314160 MERCES;32;120;692;-;1673;10;2527
314170 MESQUITA;18;124;604;-;954;32;1732
314180 MINAS NOVAS;265;1152;3615;-;3724;86;8842
314190 MINDURI;16;44;186;-;816;1;1063
314200 MIRABELA;39;384;1500;-;2465;43;4431
314210 MIRADOURO;21;101;809;-;1554;17;2502
314220 MIRAI;47;164;1407;-;2115;60;3793
314225 MIRAVANIA;17;127;486;-;640;13;1283
314230 MOEDA;3;45;229;-;930;8;1215
314240 MOEMA;16;153;677;-;1217;11;2074
314250 MONJOLOS;4;28;103;-;483;9;627
314260 MONSENHOR PAULO;25;107;437;1;1315;18;1903
314270 MONTALVANIA;101;603;1643;-;2860;75;5282
314280 MONTE ALEGRE DE MINAS;35;131;1009;-;3843;35;5053
314290 MONTE AZUL;95;256;1142;-;4834;211;6538
314300 MONTE BELO;45;109;424;-;2826;13;3417
314310 MONTE CARMELO;74;510;3732;-;10338;19;14673
314315 MONTE FORMOSO;58;219;654;-;656;15;1602
314320 MONTE SANTO DE MINAS;66;118;520;-;4825;22;5551
314330 MONTES CLAROS;2143;8216;39642;-;86446;936;137383
314340 MONTE SIAO;78;169;820;5;3664;43;4779
314345 MONTEZUMA;24;97;422;-;1317;17;1877
314350 MORADA NOVA DE MINAS;29;116;600;1;1315;32;2093
314360 MORRO DA GARCA;7;46;155;-;566;4;778
314370 MORRO DO PILAR;15;59;237;5;431;11;758
314380 MUNHOZ;34;58;374;-;804;7;1277
314390 MURIAE;521;1039;6279;1;21399;1166;30405
314400 MUTUM;81;494;1959;-;5954;232;8720
314410 MUZAMBINHO;42;88;611;-;5200;33;5974
314420 NACIP RAYDAN;14;55;316;-;339;11;735
314430 NANUQUE;174;845;3499;-;8878;264;13660
314435 NAQUE;27;180;697;-;1361;29;2294
314437 NATALANDIA;10;66;298;-;547;5;926
314440 NATERCIA;5;16;159;-;779;2;961
314450 NAZARENO;34;144;606;-;1324;17;2125
314460 NEPOMUCENO;101;470;1900;-;4844;23;7338
314465 NINHEIRA;41;214;628;-;1630;11;2524
314467 NOVA BELEM;30;94;382;-;699;9;1214
314470 NOVA ERA;82;272;1391;-;3816;38;5599
314480 NOVA LIMA;125;577;4861;-;22171;92;27826
314490 NOVA MODICA;34;90;389;-;526;15;1054
314500 NOVA PONTE;28;106;669;-;3113;31;3947
314505 NOVA PORTEIRINHA;12;123;771;-;1568;23;2497
314510 NOVA RESENDE;40;104;553;-;4184;25;4906
314520 NOVA SERRANA;208;1348;8183;-;19863;142;29744
314530 NOVO CRUZEIRO;511;2187;4178;-;4649;318;11843
314535 NOVO ORIENTE DE MINAS;142;525;1076;-;1293;29;3065
314537 NOVORIZONTE;20;87;477;-;884;10;1478
314540 OLARIA;2;22;96;-;323;7;450
314545 OLHOS-D'AGUA;23;210;651;-;918;29;1831
314550 OLIMPIO NORONHA;3;12;133;-;572;5;725
314560 OLIVEIRA;85;458;3098;-;7092;45;10778
314570 OLIVEIRA FORTES;8;10;77;-;297;8;400
314580 ONCA DE PITANGUI;29;52;209;-;381;3;674
314585 ORATORIOS;5;92;417;-;886;3;1403
314587 ORIZANIA;18;48;666;1;1885;34;2652
314590 OURO BRANCO;88;318;2043;-;8814;102;11365
314600 OURO FINO;209;583;2578;-;4089;116;7575
314610 OURO PRETO;299;908;4412;-;13158;1319;20096
314620 OURO VERDE DE MINAS;136;379;893;-;956;47;2411
314625 PADRE CARVALHO;19;158;753;-;968;8;1906
314630 PADRE PARAISO;247;1294;2713;-;2913;92;7259
314640 PAINEIRAS;9;50;298;-;532;17;906
314650 PAINS;12;39;344;-;1636;4;2035
314655 PAI PEDRO;15;123;446;-;917;68;1569
314660 PAIVA;4;3;56;1;258;3;325
314670 PALMA;20;64;369;-;935;36;1424
314675 PALMOPOLIS;82;330;497;1;1038;40;1988
314690 PAPAGAIOS;72;248;1350;-;2854;187;4711
314700 PARACATU;309;1452;9204;-;19603;258;30826
314710 PARA DE MINAS;232;1069;6311;-;18814;117;26543
314720 PARAGUACU;44;262;1169;-;4310;38;5823
314730 PARAISOPOLIS;41;162;1338;-;3813;34;5388
314740 PARAOPEBA;148;491;2083;-;4127;323;7172
314750 PASSABEM;2;39;97;7;239;4;388
314760 PASSA QUATRO;28;108;590;-;3870;19;4615
314770 PASSA TEMPO;10;63;508;-;1007;19;1607
314780 PASSA-VINTE;5;12;104;-;330;4;455
314790 PASSOS;413;1457;6852;-;24412;103;33237
314795 PATIS;6;114;472;-;930;10;1532
314800 PATOS DE MINAS;218;1570;12806;-;26724;118;41436
314810 PATROCINIO;193;1126;6904;-;19958;82;28263
314820 PATROCINIO DO MURIAE;5;32;218;-;864;18;1137
314830 PAULA CANDIDO;29;125;738;-;1555;22;2469
314840 PAULISTAS;60;182;419;1;758;20;1440
314850 PAVAO;69;360;970;-;1087;40;2526
314860 PECANHA;190;349;2582;-;2852;49;6022
314870 PEDRA AZUL;251;1027;2479;-;4738;134;8629
314875 PEDRA BONITA;52;138;648;-;1618;111;2567
314880 PEDRA DO ANTA;11;36;249;-;578;7;881
314890 PEDRA DO INDAIA;7;31;211;-;578;3;830
314900 PEDRA DOURADA;6;9;59;2;627;6;709
314910 PEDRALVA;38;107;674;-;2393;26;3238
314915 PEDRAS DE MARIA DA CRUZ;29;288;1059;-;1673;27;3076
314920 PEDRINOPOLIS;9;23;147;-;695;13;887
314930 PEDRO LEOPOLDO;254;777;6558;-;10511;114;18214
314940 PEDRO TEIXEIRA;1;18;112;-;293;5;429
314950 PEQUERI;10;30;153;-;610;6;809
314960 PEQUI;11;70;356;-;648;23;1108
314970 PERDIGAO;33;127;692;-;1994;18;2864
314980 PERDIZES;31;75;542;-;3704;16;4368
314990 PERDOES;55;142;894;-;3585;13;4689
314995 PERIQUITO;78;222;920;-;1271;26;2517
315000 PESCADOR;21;126;481;-;602;24;1254
315010 PIAU;10;35;137;-;423;13;618
315015 PIEDADE DE CARATINGA;30;117;781;-;1962;17;2907
315020 PIEDADE DE PONTE NOVA;13;71;436;-;818;6;1344
315030 PIEDADE DO RIO GRANDE;10;44;297;-;777;2;1130
315040 PIEDADE DOS GERAIS;6;30;267;-;763;10;1076
315050 PIMENTA;10;62;407;-;1334;8;1821
315053 PINGO-D'AGUA;18;83;528;-;769;7;1405
315057 PINTOPOLIS;40;225;708;-;1183;23;2179
315060 PIRACEMA;9;47;378;-;999;2;1435
315070 PIRAJUBA;10;54;281;-;1019;7;1371
315080 PIRANGA;37;262;1811;-;2491;34;4635
315090 PIRANGUCU;11;39;268;-;1070;9;1397
315100 PIRANGUINHO;22;80;485;-;1938;18;2543
315110 PIRAPETINGA;58;102;511;-;2820;27;3518
315120 PIRAPORA;159;1191;5973;-;12844;63;20230
315130 PIRAUBA;28;104;515;-;2310;17;2974
315140 PITANGUI;56;532;3226;-;4396;125;8335
315150 PIUMHI;73;359;3907;-;5389;20;9748
315160 PLANURA;32;178;837;-;1800;20;2867
315170 POCO FUNDO;27;45;321;-;3648;13;4054
315180 POCOS DE CALDAS;432;1495;9792;-;32441;599;44759
315190 POCRANE;20;105;760;-;1329;18;2232
315200 POMPEU;98;599;3944;-;5148;167;9956
315210 PONTE NOVA;116;693;4438;-;11896;47;17190
315213 PONTO CHIQUE;17;101;389;-;707;59;1273
315217 PONTO DOS VOLANTES;115;538;1365;-;1618;61;3697
315220 PORTEIRINHA;130;704;3690;-;7209;54;11787
315230 PORTO FIRME;36;170;684;-;1384;22;2296
315240 POTE;142;676;1724;-;2076;25;4643
315250 POUSO ALEGRE;671;1561;7910;-;31144;144;41430
315260 POUSO ALTO;15;51;290;-;1226;2;1584
315270 PRADOS;24;143;892;-;1229;19;2307
315280 PRATA;40;214;1070;-;6630;73;8027
315290 PRATAPOLIS;17;70;309;-;1563;10;1969
315300 PRATINHA;12;16;249;1;499;4;781
315310 PRESIDENTE BERNARDES;7;69;381;-;750;12;1219
315320 PRESIDENTE JUSCELINO;40;91;224;-;620;20;995
315330 PRESIDENTE KUBITSCHEK;15;70;304;-;697;9;1095
315340 PRESIDENTE OLEGARIO;27;190;1117;-;3497;29;4860
315350 ALTO JEQUITIBA;22;75;798;-;1667;49;2611
315360 PRUDENTE DE MORAIS;52;199;998;-;1733;239;3221
315370 QUARTEL GERAL;10;30;346;-;402;3;791
315380 QUELUZITO;4;20;97;-;271;1;393
315390 RAPOSOS;48;145;1080;-;3364;21;4658
315400 RAUL SOARES;70;431;2219;-;3758;24;6502
315410 RECREIO;37;142;572;-;1573;23;2347
315415 REDUTO;23;112;609;-;1709;14;2467
315420 RESENDE COSTA;33;181;980;-;1878;24;3096
315430 RESPLENDOR;62;426;1690;-;3032;52;5262
315440 RESSAQUINHA;10;28;359;-;979;4;1380
315445 RIACHINHO;54;253;664;-;1017;12;2000
315450 RIACHO DOS MACHADOS;47;388;1172;-;1565;12;3184
315460 RIBEIRAO DAS NEVES;1286;8571;34850;-;60437;984;106128
315470 RIBEIRAO VERMELHO;5;32;186;-;705;-;928
315480 RIO ACIMA;18;49;588;-;2145;13;2813
315490 RIO CASCA;93;266;1477;-;2662;21;4519
315500 RIO DOCE;2;24;128;-;382;3;539
315510 RIO DO PRADO;24;128;381;-;875;22;1430
315520 RIO ESPERA;21;89;488;-;622;13;1233
315530 RIO MANSO;11;39;310;-;642;15;1017
315540 RIO NOVO;73;211;585;-;1310;21;2200
315550 RIO PARANAIBA;29;179;902;-;2115;27;3252
315560 RIO PARDO DE MINAS;43;509;3250;-;5882;206;9890
315570 RIO PIRACICABA;57;234;1172;47;2275;38;3823
315580 RIO POMBA;30;184;902;-;3353;8;4477
315590 RIO PRETO;18;79;349;1;706;12;1165
315600 RIO VERMELHO;143;728;1614;-;1816;24;4325
315610 RITAPOLIS;7;52;584;-;452;3;1098
315620 ROCHEDO DE MINAS;5;28;128;-;447;6;614
315630 RODEIRO;22;92;551;-;1597;2;2264
315640 ROMARIA;6;24;174;-;605;3;812
315645 ROSARIO DA LIMEIRA;9;43;264;-;837;31;1184
315650 RUBELITA;29;161;742;-;1005;21;1958
315660 RUBIM;32;185;1154;2;1434;30;2837
315670 SABARA;487;2780;11437;-;25951;331;40986
315680 SABINOPOLIS;50;211;1047;-;3441;41;4790
315690 SACRAMENTO;54;173;996;-;5958;31;7212
315700 SALINAS;161;834;4267;-;7529;91;12882
315710 SALTO DA DIVISA;77;250;648;12;940;40;1967
315720 SANTA BARBARA;173;417;2548;1;6269;114;9522
315725 SANTA BARBARA DO LESTE;22;130;911;-;1613;15;2691
315727 SANTA BARBARA DO MONTE VERDE;19;38;184;-;445;17;703
315730 SANTA BARBARA DO TUGURIO;7;33;288;-;730;4;1062
315733 SANTA CRUZ DE MINAS;35;117;1026;-;1068;20;2266
315737 SANTA CRUZ DE SALINAS;14;137;441;-;685;19;1296
315740 SANTA CRUZ DO ESCALVADO;6;50;374;-;757;6;1193
315750 SANTA EFIGENIA DE MINAS;26;130;392;-;907;28;1483
315760 SANTA FE DE MINAS;33;120;408;-;540;10;1111
315765 SANTA HELENA DE MINAS;160;378;759;-;950;63;2310
315770 SANTA JULIANA;40;141;672;-;2881;17;3751
315780 SANTA LUZIA;924;5704;25340;-;40469;695;73132
315790 SANTA MARGARIDA;47;208;1075;-;4143;49;5522
315800 SANTA MARIA DE ITABIRA;46;268;995;31;1979;26;3345
315810 SANTA MARIA DO SALTO;55;111;389;-;705;19;1279
315820 SANTA MARIA DO SUACUI;258;868;1968;-;1707;40;4841
315830 SANTANA DA VARGEM;16;85;348;-;1468;8;1925
315840 SANTANA DE CATAGUASES;7;22;248;-;455;3;735
315850 SANTANA DE PIRAPAMA;25;110;511;-;776;203;1625
315860 SANTANA DO DESERTO;14;33;176;-;610;15;848
315870 SANTANA DO GARAMBEU;2;12;137;-;452;2;605
315880 SANTANA DO JACARE;11;106;608;-;497;8;1230
315890 SANTANA DO MANHUACU;28;145;863;1;1939;19;2995
315895 SANTANA DO PARAISO;89;613;2802;-;7416;129;11049
315900 SANTANA DO RIACHO;12;82;348;-;536;6;984
315910 SANTANA DOS MONTES;15;64;351;-;531;6;967
315920 SANTA RITA DE CALDAS;16;92;417;-;1366;15;1906
315930 SANTA RITA DE JACUTINGA;18;38;172;4;781;15;1028
315935 SANTA RITA DE MINAS;18;137;818;-;1266;14;2253
315940 SANTA RITA DE IBITIPOCA;19;54;316;-;542;3;934
315950 SANTA RITA DO ITUETO;23;136;632;-;1061;17;1869
315960 SANTA RITA DO SAPUCAI;126;270;1252;-;10104;27;11779
315970 SANTA ROSA DA SERRA;4;44;243;-;543;8;842
315980 SANTA VITORIA;36;99;1036;-;4245;15;5431
315990 SANTO ANTONIO DO AMPARO;77;270;1124;-;3695;176;5342
316000 SANTO ANTONIO DO AVENTUREIRO;7;36;222;-;368;5;638
316010 SANTO ANTONIO DO GRAMA;13;53;358;-;795;9;1228
316020 SANTO ANTONIO DO ITAMBE;14;181;427;-;590;11;1223
316030 SANTO ANTONIO DO JACINTO;160;309;1034;1;1505;121;3130
316040 SANTO ANTONIO DO MONTE;52;240;1691;1;6070;31;8085
316045 SANTO ANTONIO DO RETIRO;22;88;674;-;1314;18;2116
316050 SANTO ANTONIO DO RIO ABAIXO;8;35;148;6;257;6;460
316060 SANTO HIPOLITO;17;89;275;-;433;11;825
316070 SANTOS DUMONT;203;555;3324;-;8779;224;13085
316080 SAO BENTO ABADE;7;89;426;-;1184;13;1719
316090 SAO BRAS DO SUACUI;9;32;159;-;619;2;821
316095 SAO DOMINGOS DAS DORES;14;50;710;-;1182;22;1978
316100 SAO DOMINGOS DO PRATA;53;164;1184;-;2847;99;4347
316105 SAO FELIX DE MINAS;10;52;292;-;574;8;936
316110 SAO FRANCISCO;388;4033;6743;-;9305;119;20588
316120 SAO FRANCISCO DE PAULA;5;66;527;-;1037;10;1645
316130 SAO FRANCISCO DE SALES;12;33;302;-;990;7;1344
316140 SAO FRANCISCO DO GLORIA;12;44;358;-;865;10;1289
316150 SAO GERALDO;30;159;739;-;1220;6;2154
316160 SAO GERALDO DA PIEDADE;39;109;394;-;703;32;1277
316165 SAO GERALDO DO BAIXIO;14;42;326;-;514;5;901
316170 SAO GONCALO DO ABAETE;16;145;644;-;803;17;1625
316180 SAO GONCALO DO PARA;19;124;735;-;2085;24;2987
316190 SAO GONCALO DO RIO ABAIXO;27;94;657;3;2170;44;2995
316200 SAO GONCALO DO SAPUCAI;78;302;1639;-;5998;52;8069
316210 SAO GOTARDO;109;585;2864;-;9533;100;13191
316220 SAO JOAO BATISTA DO GLORIA;19;41;256;-;1561;10;1887
316225 SAO JOAO DA LAGOA;20;93;326;-;689;9;1137
316230 SAO JOAO DA MATA;4;7;90;-;555;5;661
316240 SAO JOAO DA PONTE;119;470;1597;-;4888;86;7160
316245 SAO JOAO DAS MISSOES;71;516;1902;-;2884;109;5482
316250 SAO JOAO DEL REI;247;1205;11554;-;10160;99;23265
316255 SAO JOAO DO MANHUACU;33;161;1078;1;2654;21;3948
316257 SAO JOAO DO MANTENINHA;15;54;494;-;1093;3;1659
316260 SAO JOAO DO ORIENTE;20;167;1014;-;1192;17;2410
316265 SAO JOAO DO PACUI;28;106;316;-;578;8;1036
316270 SAO JOAO DO PARAISO;67;448;1909;-;4199;24;6647
316280 SAO JOAO EVANGELISTA;98;280;1172;-;3231;43;4824
316290 SAO JOAO NEPOMUCENO;89;211;1006;-;5560;102;6968
316292 SAO JOAQUIM DE BICAS;106;543;2187;-;5361;98;8295
316294 SAO JOSE DA BARRA;17;54;307;-;1516;3;1897
316295 SAO JOSE DA LAPA;68;379;2070;-;4302;47;6866
316300 SAO JOSE DA SAFIRA;88;209;553;-;618;26;1494
316310 SAO JOSE DA VARGINHA;6;43;327;-;653;6;1035
316320 SAO JOSE DO ALEGRE;13;54;289;-;794;6;1156
316330 SAO JOSE DO DIVINO;15;59;324;-;660;9;1067
316340 SAO JOSE DO GOIABAL;24;138;559;3;769;7;1500
316350 SAO JOSE DO JACURI;43;197;614;-;900;29;1783
316360 SAO JOSE DO MANTIMENTO;6;69;283;-;558;5;921
316370 SAO LOURENCO;135;306;2850;-;9252;64;12607
316380 SAO MIGUEL DO ANTA;8;63;451;-;1126;14;1662
316390 SAO PEDRO DA UNIAO;13;21;149;-;842;8;1033
316400 SAO PEDRO DOS FERROS;16;179;811;-;1157;5;2168
316410 SAO PEDRO DO SUACUI;52;149;563;-;712;13;1489
316420 SAO ROMAO;66;463;1052;-;1363;13;2957
316430 SAO ROQUE DE MINAS;16;148;754;-;618;14;1550
316440 SAO SEBASTIAO DA BELA VISTA;20;59;324;-;1193;12;1608
316443 SAO SEBASTIAO DA VARGEM ALEGRE;4;21;219;-;478;8;730
316447 SAO SEBASTIAO DO ANTA;13;82;903;-;1097;35;2130
316450 SAO SEBASTIAO DO MARANHAO;166;552;1371;-;931;74;3094
316460 SAO SEBASTIAO DO OESTE;8;66;428;-;1554;17;2073
316470 SAO SEBASTIAO DO PARAISO;161;577;3142;1;17155;85;21121
316480 SAO SEBASTIAO DO RIO PRETO;6;18;146;1;189;10;370
316490 SAO SEBASTIAO DO RIO VERDE;4;8;70;-;410;-;492
316500 SAO TIAGO;33;151;855;-;1792;39;2870
316510 SAO TOMAS DE AQUINO;18;71;423;-;1586;12;2110
316520 SAO THOME DAS LETRAS;19;129;530;-;1020;13;1711
316530 SAO VICENTE DE MINAS;29;104;529;-;1324;10;1996
316540 SAPUCAI-MIRIM;17;100;486;-;1354;25;1982
316550 SARDOA;63;153;556;-;1008;29;1809
316553 SARZEDO;80;358;2002;-;7531;70;10041
316555 SETUBINHA;443;821;1552;-;1416;52;4284
316556 SEM-PEIXE;9;37;124;-;349;-;519
316557 SENADOR AMARAL;45;73;670;-;1405;8;2201
316560 SENADOR CORTES;10;21;202;-;408;6;647
316570 SENADOR FIRMINO;19;69;492;-;1363;9;1952
316580 SENADOR JOSE BENTO;-;6;51;-;267;-;324
316590 SENADOR MODESTINO GONCALVES;13;77;388;-;727;7;1212
316600 SENHORA DE OLIVEIRA;7;51;525;-;873;10;1466
316610 SENHORA DO PORTO;28;96;322;2;603;29;1080
316620 SENHORA DOS REMEDIOS;24;123;891;-;1392;19;2449
316630 SERICITA;61;152;809;2;1452;134;2610
316640 SERITINGA;4;13;148;-;297;3;465
316650 SERRA AZUL DE MINAS;22;132;358;-;867;9;1388
316660 SERRA DA SAUDADE;2;4;33;-;112;2;153
316670 SERRA DOS AIMORES;34;215;902;-;1476;47;2674
316680 SERRA DO SALITRE;40;205;1123;-;2168;14;3550
316690 SERRANIA;41;200;596;-;1626;12;2475
316695 SERRANOPOLIS DE MINAS;13;90;452;-;702;26;1283
316700 SERRANOS;3;36;200;-;315;2;556
316710 SERRO;80;798;2365;-;3735;51;7029
316720 SETE LAGOAS;1235;3673;19213;-;36669;5459;66249
316730 SILVEIRANIA;2;24;122;-;382;-;530
316740 SILVIANOPOLIS;21;48;271;-;1127;5;1472
316750 SIMAO PEREIRA;9;45;202;-;423;13;692
316760 SIMONESIA;52;338;1649;1;4616;40;6696
316770 SOBRALIA;26;163;619;-;702;25;1535
316780 SOLEDADE DE MINAS;17;64;371;-;1051;6;1509
316790 TABULEIRO;9;40;233;-;725;6;1013
316800 TAIOBEIRAS;53;620;2956;-;7527;123;11279
316805 TAPARUBA;2;39;244;-;655;1;941
316810 TAPIRA;16;36;281;-;717;3;1053
316820 TAPIRAI;-;20;105;-;217;3;345
316830 TAQUARACU DE MINAS;14;71;267;-;494;7;853
316840 TARUMIRIM;59;374;1476;-;1591;57;3557
316850 TEIXEIRAS;25;179;870;-;1854;22;2950
316860 TEOFILO OTONI;1518;5592;18002;-;22331;295;47738
316870 TIMOTEO;164;992;6508;-;15760;176;23600
316880 TIRADENTES;26;115;857;-;887;14;1899
316890 TIROS;16;97;392;-;1124;22;1651
316900 TOCANTINS;64;176;1082;-;2962;20;4304
316905 TOCOS DO MOJI;11;9;66;-;689;2;777
316910 TOLEDO;36;48;282;-;1113;6;1485
316920 TOMBOS;6;25;176;-;2236;19;2462
316930 TRES CORACOES;212;1041;4833;-;18301;258;24645
316935 TRES MARIAS;123;654;2962;2;5161;126;9028
