 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Consult pré-natal;;;;;;;
Período:2000-2022;;;;;;;
Município;Nenhuma;De 1 a 3 consultas;De 4 a 6 consultas;De 1 a 6 consultas, não especificado;7 ou mais consultas;Ignorado;Total
240930 PATU;35;134;1711;-;2052;13;3945
240933 SANTA MARIA;36;110;624;-;741;28;1539
240940 PAU DOS FERROS;81;270;1511;-;7788;18;9668
240950 PEDRA GRANDE;36;143;553;-;668;7;1407
240960 PEDRA PRETA;16;80;332;-;457;14;899
240970 PEDRO AVELINO;83;252;714;-;1007;29;2085
240980 PEDRO VELHO;187;444;2258;-;2256;109;5254
240990 PENDENCIAS;88;415;1366;-;1676;16;3561
241000 PILOES;11;29;482;-;563;6;1091
241010 POCO BRANCO;254;705;1744;-;1643;43;4389
241020 PORTALEGRE;27;155;766;-;1458;14;2420
241025 PORTO DO MANGUE;22;160;855;-;658;8;1703
241030 SERRA CAIADA;124;418;1595;-;1595;59;3791
241040 PUREZA;117;467;1305;-;1150;19;3058
241050 RAFAEL FERNANDES;9;49;334;-;1246;7;1645
241060 RAFAEL GODEIRO;20;35;393;-;418;5;871
241070 RIACHO DA CRUZ;18;36;358;-;603;3;1018
241080 RIACHO DE SANTANA;8;55;262;-;1109;10;1444
241090 RIACHUELO;58;192;1052;-;1048;34;2384
241100 RODOLFO FERNANDES;17;69;529;-;985;5;1605
241105 TIBAU;13;54;557;-;939;6;1569
241110 RUY BARBOSA;26;76;422;-;600;23;1147
241120 SANTA CRUZ;293;1035;5206;-;6916;148;13598
241140 SANTANA DO MATOS;32;278;1329;-;1813;28;3480
241142 SANTANA DO SERIDO;3;22;158;-;557;5;745
241150 SANTO ANTONIO;207;443;3167;-;4430;165;8412
241160 SAO BENTO DO NORTE;22;67;487;-;603;5;1184
241170 SAO BENTO DO TRAIRI;22;76;596;-;842;20;1556
241180 SAO FERNANDO;11;31;276;-;650;4;972
241190 SAO FRANCISCO DO OESTE;3;23;217;-;1038;4;1285
241200 SAO GONCALO DO AMARANTE;1003;3518;13890;-;17521;376;36308
241210 SAO JOAO DO SABUGI;12;57;505;-;1014;4;1592
241220 SAO JOSE DE MIPIBU;593;1928;6696;-;7081;386;16684
241230 SAO JOSE DO CAMPESTRE;74;244;1688;-;1941;57;4004
241240 SAO JOSE DO SERIDO;9;50;356;-;765;14;1194
241250 SAO MIGUEL;110;492;3135;-;5128;49;8914
241255 SAO MIGUEL DO GOSTOSO;49;272;918;-;1137;12;2388
241260 SAO PAULO DO POTENGI;86;303;2190;-;2366;87;5032
241270 SAO PEDRO;55;149;976;-;778;25;1983
241280 SAO RAFAEL;54;216;952;-;907;10;2139
241290 SAO TOME;67;200;1517;-;1325;40;3149
