 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Cor/raça;;;;;;;
Período:2000-2022;;;;;;;
Município;Branca;Preta;Amarela;Parda;Indígena;Ignorado;Total
312680 FREI GASPAR;138;58;4;1752;5;48;2005
312690 FREI INOCENCIO;500;155;15;2369;3;30;3072
312695 FREI LAGONEGRO;192;13;3;755;-;14;977
312700 FRONTEIRA;2123;128;5;913;-;34;3203
312705 FRONTEIRA DOS VALES;381;21;6;945;1;9;1363
312707 FRUTA DE LEITE;361;17;6;1359;2;174;1919
312710 FRUTAL;11177;861;41;3800;10;253;16142
312720 FUNILANDIA;157;35;6;654;-;330;1182
312730 GALILEIA;538;72;3;1676;5;20;2314
312733 GAMELEIRAS;446;85;12;751;2;31;1327
312735 GLAUCILANDIA;59;20;4;497;-;116;696
312737 GOIABEIRA;375;44;32;491;1;9;952
312738 GOIANA;391;84;4;244;1;33;757
312740 GONCALVES;856;32;-;46;-;10;944
312750 GONZAGA;187;38;1;1642;-;32;1900
312760 GOUVEIA;973;211;26;2148;4;20;3382
312770 GOVERNADOR VALADARES;19160;2488;321;67585;221;1389;91164
312780 GRAO MOGOL;540;138;16;3613;5;148;4460
312790 GRUPIARA;252;12;-;44;-;-;308
312800 GUANHAES;3098;617;31;6329;6;329;10410
312810 GUAPE;2695;155;2;609;-;33;3494
312820 GUARACIABA;566;158;9;1701;2;37;2473
312825 GUARACIAMA;168;40;2;1146;2;102;1460
312830 GUARANESIA;4202;168;40;724;3;292;5429
312840 GUARANI;852;699;3;693;1;42;2290
312850 GUARARA;433;134;3;342;2;59;973
312860 GUARDA-MOR;710;94;12;856;-;53;1725
312870 GUAXUPE;11027;263;15;1507;3;1588;14403
312880 GUIDOVAL;1101;212;9;473;-;35;1830
312890 GUIMARANIA;1242;93;3;744;3;24;2109
312900 GUIRICEMA;1245;82;7;431;3;23;1791
312910 GURINHATA;768;21;1;226;-;13;1029
312920 HELIODORA;1235;94;1;201;1;18;1550
312930 IAPU;458;39;5;771;3;1627;2903
312940 IBERTIOGA;1006;73;11;453;2;18;1563
312950 IBIA;3740;481;16;2331;6;123;6697
312960 IBIAI;188;19;4;2388;5;47;2651
312965 IBIRACATU;352;68;12;1171;-;94;1697
312970 IBIRACI;2440;177;4;673;2;100;3396
312980 IBIRITE;13055;4747;542;32383;93;7397;58217
312990 IBITIURA DE MINAS;708;20;-;68;1;2;799
313000 IBITURUNA;346;37;1;360;1;32;777
313005 ICARAI DE MINAS;259;124;14;2315;3;97;2812
313010 IGARAPE;2894;610;75;5457;17;3202;12255
313020 IGARATINGA;1570;65;13;1079;2;46;2775
313030 IGUATAMA;1013;129;4;635;-;32;1813
313040 IJACI;819;230;3;819;-;7;1878
313050 ILICINEA;2204;230;11;493;-;453;3391
313055 IMBE DE MINAS;770;80;26;1111;2;46;2035
313060 INCONFIDENTES;1424;28;3;90;2;29;1576
313065 INDAIABIRA;137;30;8;502;-;1326;2003
313070 INDIANOPOLIS;924;50;6;451;1;114;1546
313080 INGAI;342;128;-;244;-;-;714
313090 INHAPIM;2036;213;50;3725;7;790;6821
313100 INHAUMA;189;80;6;907;6;509;1697
313110 INIMUTABA;110;34;8;1591;-;31;1774
313115 IPABA;536;86;5;1737;3;3525;5892
313120 IPANEMA;2805;444;24;2431;6;95;5805
313130 IPATINGA;6399;1018;58;15768;18;51276;74537
313140 IPIACU;659;20;3;280;-;9;971
313150 IPUIUNA;1915;127;11;308;3;35;2399
313160 IRAI DE MINAS;1573;75;3;350;-;13;2014
313170 ITABIRA;6028;2503;186;25562;50;449;34778
313180 ITABIRINHA;921;98;6;2191;5;87;3308
313190 ITABIRITO;7927;585;68;6576;14;551;15721
313200 ITACAMBIRA;165;19;9;721;2;221;1137
313210 ITACARAMBI;603;396;39;6239;62;86;7425
313220 ITAGUARA;2242;303;12;593;4;395;3549
313230 ITAIPE;507;105;11;3915;6;73;4617
313240 ITAJUBA;24532;1031;12;2763;1;126;28465
313250 ITAMARANDIBA;6102;439;35;5033;5;151;11765
313260 ITAMARATI DE MINAS;142;36;3;84;1;703;969
313270 ITAMBACURI;1068;362;15;7403;28;118;8994
313280 ITAMBE DO MATO DENTRO;103;12;2;394;1;9;521
313290 ITAMOGI;2134;102;4;517;-;32;2789
313300 ITAMONTE;3648;136;1;299;-;25;4109
313310 ITANHANDU;3478;141;-;601;1;19;4240
313320 ITANHOMI;1398;73;9;2352;2;34;3868
313330 ITAOBIM;389;121;31;6160;14;135;6850
313340 ITAPAGIPE;2130;108;7;522;2;33;2802
313350 ITAPECERICA;2607;208;6;1161;22;724;4728
313360 ITAPEVA;1948;74;3;417;-;52;2494
313370 ITATIAIUCU;615;157;16;923;2;1354;3067
313375 ITAU DE MINAS;2952;116;2;931;-;40;4041
313380 ITAUNA;6807;888;81;4950;17;11973;24716
313390 ITAVERAVA;344;117;2;528;3;427;1421
313400 ITINGA;282;135;35;3207;9;213;3881
313410 ITUETA;642;64;78;909;3;39;1735
313420 ITUIUTABA;16333;1507;69;9483;16;300;27708
313430 ITUMIRIM;843;208;4;695;-;-;1750
313440 ITURAMA;7805;552;16;3102;5;126;11606
313450 ITUTINGA;507;132;-;386;-;8;1033
313460 JABOTICATUBAS;764;255;47;3080;11;74;4231
313470 JACINTO;971;89;3;1787;3;386;3239
313480 JACUI;1591;56;4;390;1;33;2075
313490 JACUTINGA;6019;263;21;555;3;120;6981
313500 JAGUARACU;155;46;1;472;3;76;753
313505 JAIBA;1823;456;46;10382;18;259;12984
313507 JAMPRUCA;152;65;8;1313;-;24;1562
313510 JANAUBA;4313;337;70;20683;27;291;25721
313520 JANUARIA;2416;1363;113;19914;46;281;24133
313530 JAPARAIBA;806;27;2;297;3;12;1147
313535 JAPONVAR;529;25;17;1604;1;296;2472
313540 JECEABA;539;82;7;569;1;68;1266
313545 JENIPAPO DE MINAS;315;68;13;1244;3;80;1723
313550 JEQUERI;1272;181;7;1766;3;41;3270
313560 JEQUITAI;173;33;5;1724;1;147;2083
313570 JEQUITIBA;129;41;7;732;2;401;1312
313580 JEQUITINHONHA;1722;264;53;4305;10;456;6810
313590 JESUANIA;1021;53;1;141;-;4;1220
313600 JOAIMA;578;79;22;2033;3;2714;5429
313610 JOANESIA;114;12;-;358;-;637;1121
313620 JOAO MONLEVADE;2333;494;279;8635;11;10469;22221
313630 JOAO PINHEIRO;3575;1076;879;10617;22;299;16468
313640 JOAQUIM FELICIO;177;51;15;858;3;20;1124
313650 JORDANIA;1062;61;3;1417;1;170;2714
313652 JOSE GONCALVES DE MINAS;310;26;3;827;2;34;1202
313655 JOSE RAYDAN;130;27;10;895;5;187;1254
313657 JOSENOPOLIS;136;27;3;1182;1;103;1452
313660 NOVA UNIAO;286;78;8;1195;2;40;1609
313665 JUATUBA;2292;445;55;3975;8;1290;8065
313670 JUIZ DE FORA;80139;20747;366;40549;132;6922;148855
313680 JURAMENTO;111;37;6;724;1;207;1086
313690 JURUAIA;2663;72;9;187;1;32;2964
313695 JUVENILIA;506;98;9;967;8;45;1633
313700 LADAINHA;474;302;11;3946;174;285;5192
313710 LAGAMAR;881;36;2;531;-;19;1469
313720 LAGOA DA PRATA;8845;697;40;4240;15;212;14049
313730 LAGOA DOS PATOS;94;27;12;969;5;65;1172
313740 LAGOA DOURADA;2080;227;3;1152;4;254;3720
313750 LAGOA FORMOSA;2840;120;7;1372;3;54;4396
313753 LAGOA GRANDE;739;117;81;1378;5;26;2346
313760 LAGOA SANTA;5838;991;153;8884;27;589;16482
313770 LAJINHA;3263;248;110;3020;7;411;7059
313780 LAMBARI;4896;340;4;566;1;28;5835
313790 LAMIM;272;62;4;324;4;291;957
313800 LARANJAL;638;110;3;231;-;92;1074
313810 LASSANCE;294;48;7;1557;1;103;2010
313820 LAVRAS;16227;3792;26;10403;8;101;30557
313830 LEANDRO FERREIRA;428;24;1;300;-;25;778
313835 LEME DO PRADO;432;10;6;801;-;17;1266
313840 LEOPOLDINA;6609;3548;37;4625;6;201;15026
313850 LIBERDADE;913;57;1;156;-;10;1137
313860 LIMA DUARTE;2421;494;19;1201;4;80;4219
313862 LIMEIRA DO OESTE;1198;72;4;549;2;22;1847
313865 LONTRA;519;34;9;1625;1;362;2550
313867 LUISBURGO;1461;85;12;762;2;30;2352
313868 LUISLANDIA;201;85;7;1717;4;82;2096
313870 LUMINARIAS;802;104;-;429;-;3;1338
313880 LUZ;2931;228;18;1568;-;45;4790
313890 MACHACALIS;350;28;1;1918;3;48;2348
313900 MACHADO;8442;1359;9;2110;9;165;12094
313910 MADRE DE DEUS DE MINAS;707;130;1;397;-;34;1269
313920 MALACACHETA;768;269;29;5632;42;116;6856
313925 MAMONAS;520;19;3;723;1;26;1292
313930 MANGA;551;1220;76;6496;58;255;8656
313940 MANHUACU;17528;1596;351;11847;31;380;31733
313950 MANHUMIRIM;4028;417;144;2635;2;230;7456
313960 MANTENA;2260;497;14;5375;6;245;8397
313970 MARAVILHAS;664;54;8;948;-;300;1974
313980 MAR DE ESPANHA;1649;760;9;853;-;67;3338
313990 MARIA DA FE;3673;190;6;498;-;13;4380
314000 MARIANA;6858;1576;546;9826;18;921;19745
314010 MARILAC;140;51;8;1116;1;42;1358
314015 MARIO CAMPOS;998;267;38;2086;10;1159;4558
314020 MARIPA DE MINAS;367;86;4;174;1;61;693
314030 MARLIERIA;272;74;6;670;1;82;1105
314040 MARMELOPOLIS;802;10;1;38;-;2;853
314050 MARTINHO CAMPOS;2075;69;7;1104;11;86;3352
314053 MARTINS SOARES;1460;100;44;1111;1;77;2793
314055 MATA VERDE;616;44;5;1795;5;35;2500
314060 MATERLANDIA;171;102;13;969;3;24;1282
314070 MATEUS LEME;3342;481;54;4656;10;1151;9694
314080 MATIAS BARBOSA;1855;437;7;1179;2;96;3576
314085 MATIAS CARDOSO;228;315;27;2511;8;89;3178
314090 MATIPO;2339;594;61;3865;6;240;7105
314100 MATO VERDE;1312;88;11;2195;5;64;3675
314110 MATOZINHOS;2596;484;63;7167;24;964;11298
314120 MATUTINA;615;35;-;217;1;30;898
314130 MEDEIROS;612;42;3;177;1;12;847
314140 MEDINA;410;86;23;6003;4;123;6649
314150 MENDES PIMENTEL;592;61;10;943;2;23;1631
314160 MERCES;1877;109;4;501;-;36;2527
314170 MESQUITA;215;31;2;494;2;988;1732
314180 MINAS NOVAS;1593;288;11;6778;9;163;8842
314190 MINDURI;483;251;1;324;1;3;1063
314200 MIRABELA;1002;145;21;2349;2;912;4431
314210 MIRADOURO;1656;78;10;633;-;125;2502
314220 MIRAI;2192;255;6;1224;3;113;3793
314225 MIRAVANIA;167;97;12;973;4;30;1283
314230 MOEDA;311;82;8;591;2;221;1215
314240 MOEMA;1270;82;4;639;2;77;2074
314250 MONJOLOS;38;21;1;546;1;20;627
314260 MONSENHOR PAULO;1330;55;6;467;2;43;1903
314270 MONTALVANIA;2250;238;15;2658;41;80;5282
314280 MONTE ALEGRE DE MINAS;2990;262;9;1547;3;242;5053
314290 MONTE AZUL;2415;216;61;3645;18;183;6538
314300 MONTE BELO;2826;69;5;452;-;65;3417
314310 MONTE CARMELO;11601;490;48;2440;2;92;14673
314315 MONTE FORMOSO;131;24;2;1038;2;405;1602
314320 MONTE SANTO DE MINAS;4220;191;13;978;8;141;5551
314330 MONTES CLAROS;20928;6047;927;85564;174;23743;137383
314340 MONTE SIAO;4259;73;16;340;1;90;4779
314345 MONTEZUMA;438;36;9;1134;1;259;1877
314350 MORADA NOVA DE MINAS;959;60;29;854;2;189;2093
314360 MORRO DA GARCA;42;12;6;711;1;6;778
314370 MORRO DO PILAR;110;69;2;555;3;19;758
314380 MUNHOZ;1081;34;2;138;-;22;1277
314390 MURIAE;16097;1366;105;9701;37;3099;30405
314400 MUTUM;3665;179;28;4766;3;79;8720
314410 MUZAMBINHO;5205;157;3;579;5;25;5974
314420 NACIP RAYDAN;57;33;6;608;3;28;735
314430 NANUQUE;894;324;27;11969;45;401;13660
314435 NAQUE;152;41;2;779;1;1319;2294
314437 NATALANDIA;278;38;8;575;-;27;926
314440 NATERCIA;858;25;-;72;-;6;961
314450 NAZARENO;1058;176;10;749;3;129;2125
314460 NEPOMUCENO;3647;965;16;2672;4;34;7338
314465 NINHEIRA;928;55;14;1227;4;296;2524
314467 NOVA BELEM;287;69;1;806;4;47;1214
314470 NOVA ERA;987;257;37;3336;1;981;5599
314480 NOVA LIMA;8773;848;156;12491;11;5547;27826
314490 NOVA MODICA;166;26;6;838;2;16;1054
314500 NOVA PONTE;2495;195;8;1074;6;169;3947
314505 NOVA PORTEIRINHA;324;22;6;2118;1;26;2497
314510 NOVA RESENDE;4166;60;8;616;2;54;4906
314520 NOVA SERRANA;10589;1054;133;17349;28;591;29744
314530 NOVO CRUZEIRO;1329;647;52;9338;26;451;11843
314535 NOVO ORIENTE DE MINAS;464;68;8;2432;6;87;3065
314537 NOVORIZONTE;297;15;6;923;1;236;1478
314540 OLARIA;280;30;2;126;-;12;450
314545 OLHOS-D'AGUA;178;108;6;1455;1;83;1831
314550 OLIMPIO NORONHA;539;53;-;121;-;12;725
314560 OLIVEIRA;5780;945;21;3933;9;90;10778
314570 OLIVEIRA FORTES;283;15;2;83;-;17;400
314580 ONCA DE PITANGUI;352;21;6;287;-;8;674
314585 ORATORIOS;433;135;3;823;1;8;1403
314587 ORIZANIA;1852;69;8;340;2;381;2652
314590 OURO BRANCO;5095;706;102;5071;9;382;11365
314600 OURO FINO;6685;142;16;582;5;145;7575
314610 OURO PRETO;4303;816;288;10504;72;4113;20096
314620 OURO VERDE DE MINAS;234;55;9;2043;7;63;2411
314625 PADRE CARVALHO;312;17;3;1382;1;191;1906
314630 PADRE PARAISO;1383;238;61;5482;31;64;7259
314640 PAINEIRAS;619;20;3;230;1;33;906
314650 PAINS;1262;262;1;470;-;40;2035
314655 PAI PEDRO;236;95;2;1147;4;85;1569
314660 PAIVA;218;12;2;82;2;9;325
314670 PALMA;639;252;5;429;3;96;1424
314675 PALMOPOLIS;235;20;5;1633;6;89;1988
314690 PAPAGAIOS;1504;166;19;2302;3;717;4711
314700 PARACATU;3012;2183;96;14780;39;10716;30826
314710 PARA DE MINAS;15041;741;136;10304;15;306;26543
314720 PARAGUACU;4286;314;9;1123;7;84;5823
314730 PARAISOPOLIS;4840;191;3;319;-;35;5388
314740 PARAOPEBA;1443;310;24;4442;7;946;7172
314750 PASSABEM;87;27;2;262;2;8;388
314760 PASSA QUATRO;4109;122;1;339;2;42;4615
314770 PASSA TEMPO;1108;153;5;262;-;79;1607
314780 PASSA-VINTE;305;19;1;124;-;6;455
314790 PASSOS;19369;2231;16;11334;10;277;33237
314795 PATIS;256;43;8;991;4;230;1532
314800 PATOS DE MINAS;23507;1490;145;15795;48;451;41436
314810 PATROCINIO;17385;1621;80;8925;12;240;28263
314820 PATROCINIO DO MURIAE;601;75;10;358;-;93;1137
314830 PAULA CANDIDO;1023;392;19;1003;3;29;2469
314840 PAULISTAS;198;101;3;1093;2;43;1440
314850 PAVAO;873;94;2;1398;1;158;2526
314860 PECANHA;603;263;101;4917;14;124;6022
314870 PEDRA AZUL;494;91;23;7816;7;198;8629
314875 PEDRA BONITA;1717;62;10;524;2;252;2567
314880 PEDRA DO ANTA;338;104;5;416;-;18;881
314890 PEDRA DO INDAIA;594;31;1;188;-;16;830
314900 PEDRA DOURADA;423;37;1;177;-;71;709
314910 PEDRALVA;2741;140;1;346;-;10;3238
314915 PEDRAS DE MARIA DA CRUZ;380;151;19;2417;2;107;3076
314920 PEDRINOPOLIS;617;36;-;187;1;46;887
314930 PEDRO LEOPOLDO;5817;795;84;11098;13;407;18214
314940 PEDRO TEIXEIRA;241;48;2;133;-;5;429
314950 PEQUERI;349;129;7;268;-;56;809
314960 PEQUI;486;28;5;553;-;36;1108
314970 PERDIGAO;1480;168;9;1135;2;70;2864
314980 PERDIZES;3471;174;5;659;-;59;4368
314990 PERDOES;2495;534;14;1586;1;59;4689
314995 PERIQUITO;217;114;3;1740;-;443;2517
315000 PESCADOR;151;41;1;1041;4;16;1254
315010 PIAU;342;60;-;170;-;46;618
315015 PIEDADE DE CARATINGA;1262;120;43;1421;6;55;2907
315020 PIEDADE DE PONTE NOVA;355;159;7;814;2;7;1344
315030 PIEDADE DO RIO GRANDE;721;90;6;294;1;18;1130
315040 PIEDADE DOS GERAIS;614;27;9;279;-;147;1076
315050 PIMENTA;1387;84;4;336;1;9;1821
315053 PINGO-D'AGUA;362;53;5;538;1;446;1405
315057 PINTOPOLIS;177;99;20;1839;3;41;2179
315060 PIRACEMA;905;110;-;306;2;112;1435
315070 PIRAJUBA;750;53;1;463;-;104;1371
315080 PIRANGA;1409;634;11;2374;-;207;4635
315090 PIRANGUCU;1276;22;1;88;1;9;1397
315100 PIRANGUINHO;2229;66;1;241;-;6;2543
315110 PIRAPETINGA;1778;507;7;1166;3;57;3518
315120 PIRAPORA;1652;109;27;18291;31;120;20230
315130 PIRAUBA;1745;340;7;841;2;39;2974
315140 PITANGUI;4823;432;21;2858;11;190;8335
315150 PIUMHI;6108;801;10;2781;2;46;9748
315160 PLANURA;1846;111;11;847;2;50;2867
315170 POCO FUNDO;3387;277;3;371;5;11;4054
315180 POCOS DE CALDAS;34114;2392;45;7163;14;1031;44759
315190 POCRANE;1119;91;14;948;4;56;2232
315200 POMPEU;2811;646;124;5960;25;390;9956
315210 PONTE NOVA;7115;1192;57;8737;18;71;17190
315213 PONTO CHIQUE;69;12;1;1120;-;71;1273
315217 PONTO DOS VOLANTES;333;113;17;3109;7;118;3697
315220 PORTEIRINHA;3065;249;33;8211;7;222;11787
315230 PORTO FIRME;1055;182;21;995;2;41;2296
315240 POTE;476;127;31;3982;2;25;4643
315250 POUSO ALEGRE;32863;1833;86;6060;15;573;41430
315260 POUSO ALTO;1279;61;-;240;-;4;1584
315270 PRADOS;1283;54;5;752;5;208;2307
315280 PRATA;4768;615;38;2538;3;65;8027
315290 PRATAPOLIS;1419;73;-;459;-;18;1969
315300 PRATINHA;478;23;1;260;-;19;781
315310 PRESIDENTE BERNARDES;575;102;3;527;1;11;1219
315320 PRESIDENTE JUSCELINO;60;31;5;872;-;27;995
315330 PRESIDENTE KUBITSCHEK;201;52;8;829;2;3;1095
315340 PRESIDENTE OLEGARIO;2885;156;11;1701;17;90;4860
315350 ALTO JEQUITIBA;1754;95;17;571;6;168;2611
315360 PRUDENTE DE MORAIS;417;128;13;1881;3;779;3221
315370 QUARTEL GERAL;385;45;-;353;-;8;791
315380 QUELUZITO;141;22;2;123;-;105;393
315390 RAPOSOS;672;159;28;2526;-;1273;4658
315400 RAUL SOARES;2507;317;16;3564;6;92;6502
315410 RECREIO;1036;458;4;766;-;83;2347
315415 REDUTO;1229;126;38;1050;3;21;2467
315420 RESENDE COSTA;1910;456;9;636;2;83;3096
315430 RESPLENDOR;1715;246;299;2747;178;77;5262
315440 RESSAQUINHA;1021;47;1;289;-;22;1380
315445 RIACHINHO;409;121;24;1357;11;78;2000
315450 RIACHO DOS MACHADOS;505;67;12;2548;4;48;3184
315460 RIBEIRAO DAS NEVES;17065;7029;869;77112;238;3815;106128
315470 RIBEIRAO VERMELHO;456;99;-;372;-;1;928
315480 RIO ACIMA;403;108;8;1540;-;754;2813
315490 RIO CASCA;1224;355;22;2867;5;46;4519
315500 RIO DOCE;227;40;1;266;2;3;539
315510 RIO DO PRADO;155;17;4;1177;5;72;1430
315520 RIO ESPERA;507;78;2;377;2;267;1233
315530 RIO MANSO;323;26;8;345;-;315;1017
315540 RIO NOVO;1095;385;10;615;-;95;2200
315550 RIO PARANAIBA;1836;221;5;1143;2;45;3252
315560 RIO PARDO DE MINAS;2440;78;13;6054;2;1303;9890
315570 RIO PIRACICABA;739;272;109;1893;2;808;3823
315580 RIO POMBA;2729;406;15;1280;1;46;4477
315590 RIO PRETO;677;111;2;332;1;42;1165
315600 RIO VERMELHO;207;98;12;2296;1;1711;4325
315610 RITAPOLIS;657;16;-;343;-;82;1098
315620 ROCHEDO DE MINAS;279;57;6;114;2;156;614
315630 RODEIRO;1346;206;2;656;2;52;2264
315640 ROMARIA;595;32;-;163;2;20;812
315645 ROSARIO DA LIMEIRA;705;29;2;363;1;84;1184
315650 RUBELITA;418;9;6;1327;4;194;1958
315660 RUBIM;741;73;8;1821;11;183;2837
315670 SABARA;7679;3182;403;21884;50;7788;40986
315680 SABINOPOLIS;668;366;32;3639;25;60;4790
315690 SACRAMENTO;4512;486;13;1952;-;249;7212
315700 SALINAS;2814;110;38;8749;18;1153;12882
315710 SALTO DA DIVISA;581;83;13;1166;6;118;1967
315720 SANTA BARBARA;392;106;26;1960;6;7032;9522
315725 SANTA BARBARA DO LESTE;1268;98;26;1246;1;52;2691
315727 SANTA BARBARA DO MONTE VERDE;373;112;2;196;-;20;703
315730 SANTA BARBARA DO TUGURIO;765;27;4;254;-;12;1062
315733 SANTA CRUZ DE MINAS;1166;82;1;854;-;163;2266
315737 SANTA CRUZ DE SALINAS;283;7;3;782;-;221;1296
315740 SANTA CRUZ DO ESCALVADO;470;70;4;642;1;6;1193
315750 SANTA EFIGENIA DE MINAS;163;28;1;1254;2;35;1483
315760 SANTA FE DE MINAS;90;35;4;959;3;20;1111
315765 SANTA HELENA DE MINAS;191;30;2;1389;663;35;2310
315770 SANTA JULIANA;2412;237;6;877;4;215;3751
315780 SANTA LUZIA;12306;5279;975;51657;184;2731;73132
315790 SANTA MARGARIDA;3131;503;52;1694;6;136;5522
315800 SANTA MARIA DE ITABIRA;471;538;24;2225;7;80;3345
315810 SANTA MARIA DO SALTO;499;23;-;642;-;115;1279
315820 SANTA MARIA DO SUACUI;428;126;19;3583;6;679;4841
315830 SANTANA DA VARGEM;1176;201;3;530;-;15;1925
315840 SANTANA DE CATAGUASES;148;9;2;58;-;518;735
315850 SANTANA DE PIRAPAMA;208;41;6;828;1;541;1625
315860 SANTANA DO DESERTO;289;142;2;398;1;16;848
315870 SANTANA DO GARAMBEU;363;28;6;206;-;2;605
315880 SANTANA DO JACARE;538;95;-;589;-;8;1230
315890 SANTANA DO MANHUACU;1435;137;50;1322;2;49;2995
315895 SANTANA DO PARAISO;1207;274;10;3534;3;6021;11049
315900 SANTANA DO RIACHO;262;70;8;602;2;40;984
315910 SANTANA DOS MONTES;223;67;6;345;4;322;967
315920 SANTA RITA DE CALDAS;1654;59;-;176;-;17;1906
315930 SANTA RITA DE JACUTINGA;669;71;1;198;-;89;1028
315935 SANTA RITA DE MINAS;903;136;32;1137;6;39;2253
315940 SANTA RITA DE IBITIPOCA;603;48;4;267;1;11;934
315950 SANTA RITA DO ITUETO;669;84;100;979;3;34;1869
315960 SANTA RITA DO SAPUCAI;9288;579;10;1807;1;94;11779
315970 SANTA ROSA DA SERRA;440;28;2;354;-;18;842
315980 SANTA VITORIA;2693;176;62;2418;5;77;5431
315990 SANTO ANTONIO DO AMPARO;1777;677;41;2583;8;256;5342
316000 SANTO ANTONIO DO AVENTUREIRO;354;93;-;181;-;10;638
316010 SANTO ANTONIO DO GRAMA;483;63;2;666;-;14;1228
316020 SANTO ANTONIO DO ITAMBE;47;53;6;1103;1;13;1223
316030 SANTO ANTONIO DO JACINTO;1081;52;7;1766;3;221;3130
316040 SANTO ANTONIO DO MONTE;5888;335;7;1750;1;104;8085
316045 SANTO ANTONIO DO RETIRO;620;38;2;1181;-;275;2116
316050 SANTO ANTONIO DO RIO ABAIXO;68;25;2;341;2;22;460
316060 SANTO HIPOLITO;41;27;6;738;1;12;825
316070 SANTOS DUMONT;8091;975;39;3271;5;704;13085
316080 SAO BENTO ABADE;739;148;19;804;1;8;1719
316090 SAO BRAS DO SUACUI;272;50;5;440;1;53;821
316095 SAO DOMINGOS DAS DORES;641;47;15;1089;-;186;1978
316100 SAO DOMINGOS DO PRATA;894;246;43;2499;12;653;4347
316105 SAO FELIX DE MINAS;299;39;3;575;2;18;936
316110 SAO FRANCISCO;1660;1074;108;17363;40;343;20588
316120 SAO FRANCISCO DE PAULA;879;119;5;624;-;18;1645
316130 SAO FRANCISCO DE SALES;892;65;3;361;-;23;1344
316140 SAO FRANCISCO DO GLORIA;791;43;5;352;-;98;1289
316150 SAO GERALDO;1168;155;8;784;-;39;2154
316160 SAO GERALDO DA PIEDADE;163;44;4;1036;3;27;1277
316165 SAO GERALDO DO BAIXIO;264;18;2;605;-;12;901
316170 SAO GONCALO DO ABAETE;589;100;8;820;6;102;1625
316180 SAO GONCALO DO PARA;1683;175;11;1035;1;82;2987
316190 SAO GONCALO DO RIO ABAIXO;263;253;27;1581;8;863;2995
316200 SAO GONCALO DO SAPUCAI;6014;257;4;1682;2;110;8069
316210 SAO GOTARDO;6241;813;37;5761;11;328;13191
316220 SAO JOAO BATISTA DO GLORIA;1248;73;1;551;-;14;1887
316225 SAO JOAO DA LAGOA;97;29;4;960;2;45;1137
316230 SAO JOAO DA MATA;558;21;1;73;-;8;661
316240 SAO JOAO DA PONTE;2329;351;93;4027;6;354;7160
316245 SAO JOAO DAS MISSOES;137;268;22;2201;2747;107;5482
316250 SAO JOAO DEL REI;12465;1006;14;7703;6;2071;23265
316255 SAO JOAO DO MANHUACU;2411;123;31;1264;3;116;3948
316257 SAO JOAO DO MANTENINHA;544;52;15;992;13;43;1659
316260 SAO JOAO DO ORIENTE;535;46;6;1051;1;771;2410
316265 SAO JOAO DO PACUI;67;18;3;907;1;40;1036
316270 SAO JOAO DO PARAISO;2896;160;26;3150;10;405;6647
316280 SAO JOAO EVANGELISTA;697;190;9;3816;2;110;4824
316290 SAO JOAO NEPOMUCENO;3335;802;21;1162;7;1641;6968
316292 SAO JOAQUIM DE BICAS;1625;491;59;3859;27;2234;8295
316294 SAO JOSE DA BARRA;1248;69;-;551;4;25;1897
316295 SAO JOSE DA LAPA;1715;495;53;4349;11;243;6866
316300 SAO JOSE DA SAFIRA;239;55;4;1180;1;15;1494
316310 SAO JOSE DA VARGINHA;560;22;4;442;-;7;1035
316320 SAO JOSE DO ALEGRE;931;70;-;152;-;3;1156
316330 SAO JOSE DO DIVINO;211;36;2;792;4;22;1067
316340 SAO JOSE DO GOIABAL;333;156;15;939;2;55;1500
316350 SAO JOSE DO JACURI;266;55;2;1416;1;43;1783
316360 SAO JOSE DO MANTIMENTO;464;41;6;391;2;17;921
316370 SAO LOURENCO;9789;632;4;1963;7;212;12607
316380 SAO MIGUEL DO ANTA;756;161;22;699;-;24;1662
316390 SAO PEDRO DA UNIAO;825;19;3;164;1;21;1033
316400 SAO PEDRO DOS FERROS;573;197;23;1360;1;14;2168
316410 SAO PEDRO DO SUACUI;205;89;10;1126;3;56;1489
316420 SAO ROMAO;533;410;19;1927;6;62;2957
316430 SAO ROQUE DE MINAS;1075;99;-;360;2;14;1550
316440 SAO SEBASTIAO DA BELA VISTA;1251;54;3;276;1;23;1608
316443 SAO SEBASTIAO DA VARGEM ALEGRE;530;17;3;155;1;24;730
316447 SAO SEBASTIAO DO ANTA;651;55;27;1233;3;161;2130
316450 SAO SEBASTIAO DO MARANHAO;277;73;24;2191;8;521;3094
316460 SAO SEBASTIAO DO OESTE;1043;120;19;835;1;55;2073
316470 SAO SEBASTIAO DO PARAISO;15606;796;46;4387;10;276;21121
316480 SAO SEBASTIAO DO RIO PRETO;73;13;3;260;4;17;370
316490 SAO SEBASTIAO DO RIO VERDE;411;9;-;71;-;1;492
316500 SAO TIAGO;1702;405;1;655;1;106;2870
316510 SAO TOMAS DE AQUINO;1390;105;-;585;2;28;2110
316520 SAO THOME DAS LETRAS;1102;68;14;512;1;14;1711
316530 SAO VICENTE DE MINAS;686;521;7;751;1;30;1996
316540 SAPUCAI-MIRIM;1799;21;1;144;-;17;1982
316550 SARDOA;247;17;3;1494;5;43;1809
316553 SARZEDO;2375;791;105;5076;18;1676;10041
